State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"MAYLANDS, EM","Third Ave E, Maylands","Lacks median strip/traffic separation",1,"Vechiles heading north on Guilford indicating to turn down Third Ave suddenly. Shouldn't be able to turn there -especially when there is a safe median strip turn available on Peninsular Road (~200m away) which adjoins to Third Ave.",115.886510442,-31.9334945636
"MAYLANDS, EM","Fourth Ave E & Guildford Rd, Maylands","Lacks median strip/traffic separation",0,"Vechiles travelling north on Guillford suddenly stop to turn right onto Fourth Ave (no median strip) unnecessary when Peninsular Road has a turning bay/median strip in about 100m which links up to Fourth Ave. Holds up traffic and have witnessed rear end collisions (and near misses).",115.8877558984,-31.9328086424
"MAYLANDS, EM","Whatley Cres, Maylands","Speed limit too high",0,"Close calls when residents are turning into their driveways, impatient drivers almost rear ending vehicles that slow down and indicate well in advance that they are turning into a driveway. Difficult to exit driveways during peak times in the mornings ",115.8896040916,-31.9302616096
"MAYLANDS, EM","134-146 Leake St, Bayswater","Confusing layout",0,"This section of road has been cut up to make it bike friendly. has added confusion for both bikes & cars.the section runs from Williamson st to neville st in bayswater",115.9190118313,-31.9283084629
"MAYLANDS, EM","King William St, Bayswater","Little chance to turn/cross traffic",9,"Turning right heading east is impossible and most times has to be done on the orange light which means only 1 or 2 get to turn right. It's very hard for drivers on the south side of Guildford Rd",115.9182882946,-31.9243074693
"MAYLANDS, EM","199-225 The Strand, Bedford","Narrow road, lanes or bridges",0,"I cycle down The Strand, it is very narrow, so the car are very close or invading the bicycle lanes. When I can I pull out of the road, because I am scared that if the driver, eats, drinks or text , he will run over me. Why not to put at least the acoustic signals on the road strips? It should have been better to make only one lane for the bicycles, but separated from the road. Thank you!",115.886964798,-31.9036834195
"MAYLANDS, EM","Coode St, Bayswater","Other",0,"Trucks get stuck under this bridge.",115.9113621712,-31.9184100606
"MAYLANDS, EM","89-101 Whatley Cres, Bayswater","Tight curves or blind crests",0,"Turning right from Whatley Cr into Coode St, under the bridge is a tight, blind turn which is also at a significant downhill slope.",115.91163039210005,-31.918767496199997
"MAYLANDS, EM","53 & Embleton Ave, Embleton","Poor road surface quality",0,"Heavily worn road on the right-hand turn lane from Embelton Ave into Broun Ave",115.9170269966,-31.8969887126
"MAYLANDS, EM","Beaufort St, Inglewood","Poor or no provision for cyclists",0,"The bicycle/motorcycle/taxi/bus lane is an *excellent* idea but the cars routinely ignore the restrictions and policing of the bus lane in peak periods is non-existent.",115.8852857351,-31.9219410987
"MAYLANDS, EM","208 Collier Rd, Bayswater","Confusing layout",0,"The exit lane from Tonkin Hwy is too narrow initially with the speed reduction frm 100 to 60km requires hardish braking and the crossing over of trafffic on the bridge is dangerous A proper roundabout was required or re-design incorporating full suite of lights.",115.9180784225,-31.9054685924
"MAYLANDS, EM","Caledonian Ave & Railway Pde, Maylands","Other",0,"There's two sets of traffic lights either side of the railway, with the right turns on both set very short, so people have to rush to get through, high density traffic, coupled with a high speed bike path that cyclists don't have to stop for through car traffic (and don't!) ... I frequently have to madly stop in the trainlines or hit a cyclist or dodge a pedestrian - mad fast choices, all while traffic is desperate to get through before next train closes booms again. ",115.8943891525,-31.9264964156
"MAYLANDS, EM","Collier Rd & Jackson St, Bassendean","Confusing layout",0,"2 out of three times that we use this intersection, there is someone running the red light on the  Collier Rd side at speed, it is usually trucks but today in broad daylight it was an SUV .  I have spoken to the police and they say, they cannot press for red light cameras until the accident statistics meet the funding criteria.  we use this intersection  as it is close to work at  least   twice a day.  These lights on Jackson St/Collier Rd are in visual distance to the lights on the Collier Link",115.9270477295,-31.906160793
"MAYLANDS, EM","4, Bayswater","Vehicles travel over the speed limit",0,"Some vehicles along this Tonkin hwy between 04:00 & 06:00am exceed the speed limit by large amounts. I have been personally run out of my lane by a car cutting me off forcing me into the emergency lane at fast speed. I was doing 90 at the time. Its dangerous and a few motorists are careless during these hours. Perhaps police presence or a speed camera may catch out the offenders risking others lives on the road.",115.9248375893,-31.9174128764
"MAYLANDS, EM","Beaufort St & Ninth Ave, Inglewood","Little chance to turn/cross traffic",1,"",115.8854788542,-31.9217658021
"MAYLANDS, EM","55 & Garratt Rd, Bayswater","Poor road surface quality",0,"Unplanned lane changes. Loose loads on trucks falling off as cause of underground roots.",115.9044313431,-31.9211055913
"MAYLANDS, EM","Beechboro Rd S & Collier Rd, Bayswater","Confusing layout",0,"Travelling south on Beechborough road south. After you have crossed over the intersection of Collier road, the 2 lanes merge to 1. This should remain as 2 lanes as majority of the traffic then takes the first left turn onto King street.",115.9162867069,-31.9041479321
"MAYLANDS, EM","4, Bayswater","Poor or confusing signage",0,"motorists who are unfamiliar with the local roads and wish to exit to Collier Rd BASSENDEAN, don't know that the exit is not only for Collier Rd Morley but is also the Collier Link/Road exit for BASSENDEAN",115.9229171276,-31.9066366779
"MAYLANDS, EM","51 & Seventh Ave, Maylands","Little chance to turn/cross traffic",6,"Key intersection feeding to and from the Seventh Avenue Bridge. However major issue with cars crossing Guildford Road to southern continuation of Seventh Avenue with little rest area/ median strip. Results in cars crossing four lanes of traffic at once with numerous accidents and near misses. Recommended to insert barrier to cars crossing directly to southern section of Seventh Avenue and instead inserting turn arrows for Guildford Avenue and Eighth Avenue to enable safer crossing.",115.8924552798,-31.9307282644
"MAYLANDS, EM","51 & Eighth Ave, Maylands","Little chance to turn/cross traffic",0,"Need for turning arrows from Guildford road into Eighth Avenue. Currently only option for turning in peak hour is at end of grren light risking orange light runners. Eighth Avenue is the main shopping street for Maylands and should have turning arrows to facilitate turning. Will also provide some relief for those turning into/from Seventh Avenue for the Seventh Avenue Bridge.",115.8937802911,-31.9303321771
"MAYLANDS, EM","Fogerthorpe Cres & Peninsula Rd, Maylands","Tight curves or blind crests",0,"When crossing Peninsular Road from Richard St. to Fogersthorpe Crescent you have blind corner & brow of hill to your left. Frequently you get halfway across the  Peninsula road when a car comes over the brow of the hill and you have to stop, blocking the single  lane to the rear of your vehicle. ",115.9020709991,-31.9377050401
"MAYLANDS, EM","15-23 Bassendean Rd, Bayswater","Lacks overtaking opportunities",0,"Trucks and vans unloading with workmen in the roadway makes it difficult to get through.",115.9197950363,-31.9160696203
"MAYLANDS, EM","55 & Garratt Rd, Bayswater","Unsafe or poor pedestrian crossing",1,"Only 50% of Walk Lights at this Intersection. . Frail, Aged, Visually Impaired  and families with children and dogs live in the area.  Belmont LINK to Bayswater P.S.P  via This First Bridge since East Perths WINDAN BRIDGE..Please Help Cyclists to the Railside P.S.P, allowing more pedestrians to enjoy beneficial interaction along  the magnificent local river  foreshore  parklands and infrastructure investment by the Local Council.- RAC member 30 yrs.unfortunately now povo pension..",115.90973138810008,-31.925849897600006
"MAYLANDS, EM","10-14 Newton St, Bayswater","Lacks median strip/traffic separation",0,"ON ROAD CYCLISTS have No Clue that Newton Leads to the new P.S.P.  No Signage, not even a painted White S Line on that Portion of Newton from Guildford Road immediately before the STEEL FENCING Dangerous Entrapment Begins.  There are Two Objects in the Gutter Line that normal cyclists would move slightly wider around, into the path of unsuspecting Cruise Cars, at great risk either way...   I was RAC member for 30 years, am now pensioned OFF.. ",115.92371106150003,-31.922143713800004
"MAYLANDS, EM","Caledonian Ave & Guildford Rd, Maylands","Tight curves or blind crests",2,"Caledonian TIGHT CORNER for Oversized vehicles en route to Level Rail Crossing - This corner  Needs Truncation  - I have always appreciated McDonalds marketing of their  community support..Was R.A.C member for 30 years, till part pensioned..",115.8972215652,-31.9291826036
"MAYLANDS, EM","Guildford Rd & Milne St, Bayswater","Little chance to turn/cross traffic",0,"",115.9127408266,-31.9253900475
"MAYLANDS, EM","93B May St, Bedford","Other",0,"In the morning and afternoon when parents droping/picking up children May St is often blocked by parents car and line of cars on Beaufort St who waiting to turn on May St are long up to The Strand St which is make imposible to turne on right side of Beufort St private properies when you driving from Morly. Parents  blocking way to turn right and ignoring turning car.",115.8914923668,-31.9091116951
"MAYLANDS, EM","Bowden St & Grand Prom, Bayswater","Tight curves or blind crests",0,"",115.8979189396,-31.9193844676
"MAYLANDS, EM","13, Leeming","Other",0,"Drivers regularly run red arrows when turning right from Collier Road into Broun Ave southbound.",115.9047900296,-31.9010049397
"MAYLANDS, EM","122-132 Leake St, Bayswater","Confusing layout",0,"",115.9187436104,-31.9276710634
"MAYLANDS, EM","4, Bayswater","Other",0,"4 lanes of Tonkin Hwy merge into 2 lanes just before the Guildford Rd offramp/bridge. People are so busy looking behind them trying to merge across 2 lanes inside of a few hundred metres that they can't see what's going on ahead of them. Traffic jams every morning as well because of course some teapot realises at the last minute that he's going to miss his exit and then tries to get across 3 lanes holding everyone up. Whoever designed this bit of the new road ought to be thumped over the ear!",115.9238746762,-31.9117278092
"MAYLANDS, EM","53 & Drake St, Embleton","Little chance to turn/cross traffic",0,"Plenty of accidents, near misses, people taking close chances, people speeding, people not signaling correctly. A dangerous cross roads only stop sign but needs more!!",115.9016150236,-31.9071535453
"MAYLANDS, EM","53 & Coode St, Bedford","Little chance to turn/cross traffic",0,"Seen plenty of accidents here due to a lack of turning signal lights, hills on 3 sides that can cause visibility issues. Can be very backed up during school pick up and other busy times, causing people to take risks. Merge point immediately after crossing through lights in one section.",115.8999597795,-31.9086310324
"MAYLANDS, EM","Caledonian Ave, Maylands","Inadequate rest or stopping areas",0,"High confusion with train area, different light timings and a cycle path crossing",115.8944003484,-31.9264336499
"MAYLANDS, EM","Whatley Cres, Bayswater","Tight curves or blind crests",0,"Trying to exit the train station car park and heading towards the city is difficult during peak hour in the afternoon.",115.9104341269,-31.9190520776
"MAYLANDS, EM","53, Bedford","Inadequate rest or stopping areas",0,"Crossing here can be quite tricky. With the poor viability due to the blind crest you cant really see if there are any oncoming cars until after you have started crossing over. Coupled with the fact that often a lane can be reserved for buses on either side I hate crossing over here.",115.8910417557,-31.9173263622
"MAYLANDS, EM","Beechboro Rd S & Railway Pde, Bayswater","Other",0,"Too many unaligned street intersections here. Lots of people fail to indicate correctly",115.9135615826,-31.9173172554
"MAYLANDS, EM","Walter Road West, Morley","Little chance to turn/cross traffic",0,"Constant people turning on red lights due to no turning arrow.",115.90490101154526,-31.89478112222304
