State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"EAST METROPOLITAN REGION","Tourmaline Blvd, Byford","Vegetation/objects block visibility",1,"this intersection is very dangerous and on numerous occasions I've had near misses.  The vegetation is obstructing the view for vehicles  turning right from Turquiose  Road onto Tourmaline.  In both directions the visibility is poor and obstructed by trees.  Its not until you pull out that you have a clear view of any on coming traffic.   Unfortunately, this is located very close to another hotspot, a fatality waiting to happen - the Abernethy, Kardan and Tourmaline intersection.  ",115.9782028198,-32.2201466493
"EAST METROPOLITAN REGION","20-20 Merrivale Rd, Pickering Brook","Tight curves or blind crests",0,"Increased traffic due to new tourist operations along the road.  Not enough parking provided by some establishments so patrons are parking along the non existent verge, the road has blind corners and no verge or turning opportunities, with the increasing business along the road attracting many large coaches, buses & cars it needs to be widened and verges kept clean & clear.  Children ride their bikes and walk to school along this road.",116.1337709427,-32.0385302234
"EAST METROPOLITAN REGION","Abernethy Rd & George St, Byford","Poor road surface quality",2,"This area has so many pot holes and uneven parts that my husband cannot drive over it without hitting some sort of pot hole. Every time we cross that area it cause me great back pain. We cannot avoid using this area as it is in the central part of Byford leading to shops.",116.00807458160003,-32.221689667900016
"EAST METROPOLITAN REGION","Abernethy Rd, Byford","Distraction issues",2,"A single lane road with entries/exits on both sides for 2 shopping centres, a 7/11 and KFC, a school, roads entering left and right.... just a nightmare with accidents waiting to happen!!",116.0062050819,-32.2216783223
"EAST METROPOLITAN REGION","Nicholson Rd & Rowley Rd, Oakford","Confusing layout",5,"I have seen accidents and near misses and people realising the turn was there way too late. Rowley rd needs to join through nicholson.",115.9228148789,-32.180490265
"EAST METROPOLITAN REGION","Hopkinson Rd, Brookdale","Tight curves or blind crests",0,"I have seen multiple cars that have turned the corner wrong and ended up in the drainage ditch. this is a really bad corner that is so frequently used. Rowley rd north really need a to get built through to hilbert road so that a proper intersection can get built here. a roundabout perhaps. anything would be better than nothing",115.9723614348,-32.1797350856
"EAST METROPOLITAN REGION","Thomas Rd, Oakford","Speed limit too high",0,"Regular fatal car accidents.  Thomas road has become too busy to be single lane. There are mulitble businesses lining the road and no space to overtake cars that have stopped to turn off.  Traffic is too fast.",115.9363174438,-32.2058293651
"EAST METROPOLITAN REGION","Canning Mills Rd & Chevin Rd, Kelmscott","Area requires lights/roundabout",0,"Dangerous intersection, needs a turning lane south on Canning Mills Road onto Chevin Road",116.0475969315,-32.0982813616
"EAST METROPOLITAN REGION","Masters Rd & Thomas Rd, Darling Downs","Vehicles travel over the speed limit",0,"Frequently used by towing and heavy vehicles. There's only a single lane to join traffic on so makes it hard to reach speed when towing without causing a hazard",115.9866545862,-32.206929509
"EAST METROPOLITAN REGION","Safety bay and Warnbro sound avenue Waikiki","Area requires lights/roundabout",0,"Safety bay and Warnbro sound avenue",115.9455871582,-32.3248558268
"EAST METROPOLITAN REGION","Kargotich Rd & Thomas Rd, Oakford","Area requires lights/roundabout",53,"I have witnessed 5 accidents in the past 12 months at this intersection. I have also experienced countless ""near miss's"" from trucks and cars traveling at 90kms an hour each way when waiting in the middle of Thomas Rd to turn into Kargitich Rd. Please help, it is extremely scary. ",115.9530252724,-32.2074286104
"EAST METROPOLITAN REGION","Boomerang Rd & Gossage Rd, Oldbury","Poor or confusing signage",0,"There is no Stop Sign, Give Way Sign or any markings of any kind to let you know that is the end of the road or that you need to give way. ",115.9235939447,-32.2544998199
"EAST METROPOLITAN REGION","Abernethy Rd & Kargotich Rd, Oakford","Poor or confusing signage",2,"The Stop Signs going west on Abernathy towards the Kargotich Rd intersection are almost completely covered by overgrown trees and not visible. I have emailed the Shire of Serpentine Jarrahdale twice about this issue in the last 12 months but I have not received any response.  I have witnessed 2 accidents here in the past 12 months and experienced countless near misses when cars drive straight through the Stop Signs. ",115.9531248308,-32.2235174031
"EAST METROPOLITAN REGION","257-317 Gossage Rd, Cardup","Vegetation/objects block visibility",1,"Overgrown trees, shrubs and grass along Kargotich Rd means you have to drive past the Stop Sign and into the 90km an hour road to be able to see oncoming traffic.  I have emailed and facebook messaged the Shire of Serpentine Jarrahdale many times in the past 5 years, but zero verge maintenance has been done.",115.9517913866,-32.2541898068
"EAST METROPOLITAN REGION","Kargotich Rd & Orton Rd, Cardup","Poor or confusing signage",1,"I have witnessed a fatal accident here as well as many near misses. The roads crossing over Kargotich need rumble strips installed to warn drivers new to the area of the approaching intersection.",115.9531841178,-32.2359176244
"EAST METROPOLITAN REGION","Gossage Rd, Oldbury","Narrow road, lanes or bridges",0,"Gossage road either side of the  bridge was widened and upgraded to  two lanes to  accommodate two cars , however one lane bridge remained. Poor visability either side of bridge crest.",115.9331202507,-32.2543841562
"EAST METROPOLITAN REGION","415-415 Mundaring Weir Rd, Piesse Brook","Poor or no provision for cyclists",1,"1.overtaking cyclists who are two abreast and both wobbling all over the road 2. drivers braking in the corners. 3. drivers crossing the unbroken white lines and generally being unable to steer their vehicles fa less drive their vehicles ",116.1072492599,-31.989951415
"EAST METROPOLITAN REGION","Brookton Hwy & Peet Rd, Roleystone","Tight curves or blind crests",6,"Often when passing through intersection, a vehicle will  appear from the right in particular at significant speed giving little time to clear",116.0620163823,-32.1258741981
"EAST METROPOLITAN REGION","600-600 Albany Hwy, Bedfordale","Tight curves or blind crests",2,"",116.0663938522,-32.1810609757
"EAST METROPOLITAN REGION","1120-1136 Mundijong Rd, Oldbury","Speed limit too high",2,"The speed limit on Mundijong Road is far too high. Most of Mundijong Road is 100kph. Area is now populated with sub-divisions and off shoot roads. With traffic travelling at 100kmp dangerours when slowly down to turn into a side road or a property. Many accidents occur on this road.  Family and friends that live in the area try and avoid this road if possible having experienced dangerous tailgaiting and difficulty turning.  Speed limit needs to be reduced to at least 90 and preferably 80kpm.",115.9327125549,-32.2949687419
"EAST METROPOLITAN REGION","Elliott Rd & South Western Hwy, Keysbrook","Speed limit too high",6,"Elliott rd is a busy country road off of the SW Hwy. It is one of, if not the only intersection on the SW Hwy that doesn't have the speed limit dropped to 80-90km/hr for a townsite locality.  There isnt a sufficient turning lane for a vehicle to pull over  to turn onto Elliott Rd, and when a vehicle heading south needs to turn, there isn't much room for a vehicle to pull over there either. The speed limit needs to be reviewed. ",115.9850800037,-32.4408376714
"EAST METROPOLITAN REGION","Elliott Rd & South Western Hwy, Keysbrook","Speed limit too high",0,"This is a busy intersection on a busy section of the highway. Many vehciles including trucks and school buses use the intersection regularly. There is alos a public park on the corner where many motorists are pulling on and off the highway. The 110Km speed limit is too high. There are alos a number of crossovers into private propoerty and buisness within 200m of the intersection.",115.9850585461,-32.4408331442
"EAST METROPOLITAN REGION","20 & Cardup Siding Rd, Byford","Poor road markings or no edge-lines",1,"This section of the South West Highway requires road markings indicating a slip lane for south bound vehicles to turn right into Cardup Siding Road. The road is too narrow at this point with a total lack of road markings for vehicles to safely turn right while heavy southbound trucks have to squeeze past right turning vehicles in an 80 KPH zone. Local Stakeholder Groups have lobbied Main Roads over this intersection to no avail and a disinterested response.",116.005614996,-32.2411090401
"EAST METROPOLITAN REGION","1526-1526 Thomas Rd, Oakford","Narrow road, lanes or bridges",0,"The road is too narrow and there is heavy haulage trucks speeding and no p-lace for overtaking so they sit right close to the rear of your car trying to nbully you into speeding up, above the speed limit.",115.9331309795,-32.2051575843
"EAST METROPOLITAN REGION","Nicholson Rd & Rowley Rd, Oakford","Speed limit too high",0,"Traffic speeding at more than the 90km / hr limit on Nicholson Road, while other traffic is trying to pull onto Nicholson Road from the Rowley Road intersections. Rowley Road West and east are not aligned with Nicholson Road - they are approximately 100m apart. There should be a roundabout at this intersection to give trucks and other vehicles a chance to merge onto Nicholson Road safely.  ",115.9220695496,-32.1811336202
"EAST METROPOLITAN REGION","Larsen Rd & South Western Hwy, Byford","Little chance to turn/cross traffic",7,"It is becoming extremely difficult to join South Western Highway from Larsen road due to high volume of traffic.",116.0095515013,-32.2116145415
"EAST METROPOLITAN REGION","20 & Cooliabberra Dr, Mount Richon","Little chance to turn/cross traffic",0,"The South West Highway is very busy and you have  a long wait to be able to fit into the traffic.",116.0152870417,-32.1746271738
"EAST METROPOLITAN REGION","Intersection of Albany Hwy and Ashburton St/John St","Little chance to turn/cross traffic",0,"If heading towards Albany Hwy on Ashburton St one comes to a sign on a traffic light pole ""right lane must turn right"". This is okay except that we need to turn right often against opposing traffic, which does not have to stop to let us do so.",116.1145019531,-31.9859475186
"EAST METROPOLITAN REGION","1153 Thomas Rd, Oakford","Area requires lights/roundabout",1,"It is a cross road and the traffic is to heavy on Thomas Road which is a main road. The traffic heading towards Tonkin Highway at certain times of the day are very heavy, it leaves little chance for you to cross over if you are on Kargotich Road. We have had two accidents there today. It definitely needs lights at this particular intersection",115.89208,-32.218
"EAST METROPOLITAN REGION","4, Darling Downs","Poor or confusing signage",0,"Rear ended because person behind judged there was no traffic to stop for but I stopped to be cautious. Two separate accidents have happened. Give way should be a stop sign.",115.9656715393,-32.204921552
"EAST METROPOLITAN REGION","Nicholson Rd, Forrestdale","Area requires lights/roundabout",1,"Vehicles crossing Nicholson from  Rowley  to Rowley not paying attention to trafic on Nicholson",115.9225898981,-32.1802346413
"EAST METROPOLITAN REGION","Nicholson Rd & Thomas Rd, Oakford","Area requires lights/roundabout",125,"I avoid turning right out of Nicholson Road onto Thomas Road.  It is so very dangerous. I wiill always use another road, to turn onto Thomas Road. This inter - section has had many crashes, and I don't want to be one of them.",115.9242260456,-32.2045856588
"EAST METROPOLITAN REGION","Thomas Rd, Oakford","Confusing layout",0,"The area is getting very built up and more traffic flows through. When you are merging it is confusing as the lanes merge into one and there is also a turning lane. v",115.9710788727,-32.206882417
"EAST METROPOLITAN REGION","Chevin Rd & Holden Rd, Roleystone","Lacks median strip/traffic separation",0,"Many Vehicles do not stop at the stop sign.  Vehicles entering Holden Road from Chevin Road travelling east cut the corner. A median strip/island just back from the corner would allow trailers to turn but may reduce vehicles cutting the corner at excess speed.",116.076669395,-32.0982222844
"EAST METROPOLITAN REGION","142-152 Holden Rd, Roleystone","Vehicles travel over the speed limit",0,"",116.0757225752,-32.1010806701
"EAST METROPOLITAN REGION","Thomas Rd, Oakford","Tight curves or blind crests",1,"",115.8968782425,-32.2207162078
"EAST METROPOLITAN REGION","25 Abernethy Rd, Byford","Lacks median strip/traffic separation",0,"Daily accidents. Too many differemt entrances to carparks and businesses",116.0059632202,-32.2219479374
"EAST METROPOLITAN REGION","Hopkinson Rd, Byford","Little chance to turn/cross traffic",19,"Plenty of car crashes",115.9727418423,-32.207163834
"EAST METROPOLITAN REGION","20 & Eleventh Rd, Wungong","Lacks median strip/traffic separation",1,"Cars are travelling at 90kmph and it is unsafe to pull out onto SW Highway from Eleventh road with the amount of traffic from the increased population in Byford.",116.0156679153,-32.1866362671
"EAST METROPOLITAN REGION","27 Howitzer Turn, Byford","Other",0,"60km is far too SLOW for this rural area spoke to Mainroads the one person that desides on speeds wouldnt have a clue about our area.  There are no houses facing onto this South West Hwy its a long stretch of road to be travelling at 60km there are suburbian roads that are 80km.   please explain why??",116.0061085224,-32.2343663892
"EAST METROPOLITAN REGION","928-928 South Western Hwy, Byford","Other",0,"SPEED LIMIT TOO SLOW  60KM IS REDICULOUS FOR THIS LENGTH OF ROAD WITH NO RESIDENTIAL HOUSING DIRECTLY FACING THE ROAD.",116.003715992,-32.2348927514
"EAST METROPOLITAN REGION","Roe highway Bellvue","Speed limit too high",0,"Speed limit where all the merge lanes when travelling south on Roe hwy needs reducing to 80 kph",116.0318785161,-32.1012906112
"EAST METROPOLITAN REGION","30 Abernethy Rd, Byford","Area requires lights/roundabout",1,"",116.0059985518,-32.2217078209
"EAST METROPOLITAN REGION","20 & Abernethy Rd, Byford","Little chance to turn/cross traffic",0,"walking down Beenyup towards the shops, the walkers can only get half way before the walk light turns red, the cars going around the corner just go without giving way to pedestrians although there is a sign saying give way to pedestrians we still get tooted and have to dodge the cars   ",116.0087585449,-32.2217532034
"EAST METROPOLITAN REGION","Keirnan St, Mundijong","Poor/no pedestrian access/footpath",51,"There is pathway or safe place for kids to cross the railway when walking to school",115.9908378613,-32.2823449573
"EAST METROPOLITAN REGION","320-390 Soldiers Rd, Cardup","Poor/no pedestrian access/footpath",0,"No footpath from Norman Road to Cardup Siding Road.",115.9973430634,-32.2532409211
"EAST METROPOLITAN REGION","Thomas Rd /Hopkinson Rd intersection","Area requires lights/roundabout",1,"The intersection Hopkinson Rd /Thomas Rd is very hazardous! At certain times of the day it�۪s near impossible to cross and people take major risks",115.9600067139,-32.2040863559
"EAST METROPOLITAN REGION","Abernethy/Hopkinson intersection","Area requires lights/roundabout",0,"The intersection is used by so many people and the road cannot cope with all the traffic from Byford. People often speed through and many accidents/deaths have occurred here.",115.9297943115,-32.2308088267
"EAST METROPOLITAN REGION","Abernethy Rd & Hopkinson Rd, Oakford","Lacks median strip/traffic separation",0,"hard to get off stop sign and moving with the amount of traffic + no lighting . time the tonkin hwy was bult there and the probem would be remove. the govemt has the money .",115.9924507141,-32.2377786142
"EAST METROPOLITAN REGION","Mead St, Byford","Poor road surface quality",0,"there on lighting on this road ,narow with been the main road to big W & coles trafitis high and you get lost where the road is at night",116.0042738914,-32.2218416992
"EAST METROPOLITAN REGION","1-7 Ballawarra Ave, Byford","Vehicles travel over the speed limit",0,"Cars do not slow down while going through the round about. The side access is not busy so they don�۪t even slow to look. Also when traveling north to tears the round about the shape of the roads is like the round about isn�۪t there ie no lead up curves or visual warning.",115.9784629941,-32.2111625843
"EAST METROPOLITAN REGION","723-723 Orton Rd, Oakford","Narrow road, lanes or bridges",0,"",115.9210503101,-32.2358161467
"EAST METROPOLITAN REGION","118-150 Masters Rd, Darling Downs","Vehicles travel over the speed limit",9,"This road is in a protected equestrian zone.  All horse properties and linked bridle trails.  70 is way too fast given the amount of horses using the bridle trails.  Traffic calming devices need to be installed along with additional signage advising caution due to the activities and zoning.",115.9863127551,-32.195783026
"EAST METROPOLITAN REGION","Kardan Blvd & Thomas Rd, Byford","Poor road surface quality",0,"The same potholes have been there for over 3 years. Each year they are patched and fall apart on the first heavy rain. Horrific reduction of surface traction at intersection increasing risk of crash.",115.9777857684,-32.207134058
"EAST METROPOLITAN REGION","Hopkinson Rd, Byford","Poor road surface quality",0,"Potholes patched for longer than 3 years. Break up on rain, patched again. Poor maintenance.",115.9729088471,-32.2167689437
"EAST METROPOLITAN REGION","20 & Keirnan St, Whitby","Little chance to turn/cross traffic",0,"Whitby is a new suburb, there is an increase in traffic using this intersection, the current speed limit is 110 kph & it is unsafe with vehicles turning off the highway or turning onto the highway",116.012159586,-32.2915133189
"EAST METROPOLITAN REGION","20 & Norman Rd, Cardup","Little chance to turn/cross traffic",0,"With growing traffic flow & vehicles turning onto & off the highway to & from Norman Rd there is a safety concern for road users. Turnoff lanes should be provided",116.0119691491,-32.2590680939
"EAST METROPOLITAN REGION","57-57 Abernethy Rd, Byford","Poor or no provision for cyclists",0,"Very high traffic, high speeds, poor driving.",116.0024124384,-32.2217554725
"EAST METROPOLITAN REGION","532-532 Brookton Hwy, Roleystone","Poor road surface quality",0,"Brookton Highway between Stoney Creek to Croyden Road, this is constantly used by heavy vehicles and has no truck arrest-or bed for downhill travel, a serious accident waiting to happen. There is a lack of overtaking lane downhill so traffic often builds up in peak hours,. The road surface is uneven, poorly maintained and often awash with gravel  in heavy rains. It is dangerous for cyclists, has poor lighting as light poles are inadequately positioned. Needs bus bays for better traffic flow also",116.0646343231,-32.1258707997
"EAST METROPOLITAN REGION","Nicholson Rd & Rowley Rd, Forrestdale","Speed limit too high",0,"Crashes, road rage, near misses, death ..there has been attempt to improve and failed, still too fast and can't cross ..trucks appear 90 km around bend ",115.9224128723,-32.1801165929
"EAST METROPOLITAN REGION","King Rd, Oldbury","Speed limit too high",0,"There is a gradual incline in King Road, which makes it difficult for vehicles pulling out onto the road to see oncoming vehicles. Also because it is not a busy road, often vehicles drive well above the posted speed limit, which further increases the risk of pulling out onto King Rd from any side roads. My husband hit someone from behind when they pulled out from a side road and did not give way to him, but there would have been no way to see his vehicle oncoming.",115.9070920944,-32.2676482596
"EAST METROPOLITAN REGION","Rowley Rd, Forrestdale","Poor or no road lighting",0,"This road has no lightning. After a recent 4 week period of road works on Armadale road, this road was used as the detour. It has no light at night time and is dangerous for the amount of cars using the detour. The speed limit is too .",115.9408664703,-32.1799894637
