State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Lacks overtaking opportunities",0,"Cars banked up and tail gating, just very dangerous as many tourist with locals commuting for daily activities and work coming from dual carriage into single lane and confusion",115.4808998108,-33.6147622484
"VASSE, SW","10, Ludlow","Narrow road, lanes or bridges",0,"Bussell Highway between Capel & Busselton is an extremely busy road & dropping from dual carriageway to single lane each way with such heavy traffic makes this road very dangerous to travel. With limited passing opportunities & high speed (110kph) it is also even more dangerous in holiday season when traffic is bumper to bumper from Capel south to Busselton & people become impatient & try to pass in the single lane areas. Add to this it�۪s rural & kangaroos crossing & there�۪s no room to escape.",115.4603004456,-33.6322011067
"VASSE, SW","Bussell Hwy, Ludlow","Lacks overtaking opportunities",2,"The section of road between Capel and Busselton is in desperate need of being a dual lane highway. Very heavy traffic numerous times of the year and many accidents occur due to lack of turning onto road.",115.4833030701,-33.6150481598
"VASSE, SW","Bussell Hwy & King St, West Busselton","Little chance to turn/cross traffic",6,"Junction between Abbey Street and King Street, crossing Bussell Hwy - Pedestrians crossing multiple lanes of traffic with no lights.  Motorists crossing the junction dangerously.  There are 4 lanes of traffic and its extremely busy, especially in summer.  Poor pedestrian facilities. ",115.3305244446,-33.6550128064
"VASSE, SW","10, Ludlow","Lacks overtaking opportunities",1,"Impatient drivers on a poor road",115.4913711548,-33.6137615511
"VASSE, SW","Mary Rd & Paterson Dr, Yalyalup","Tight curves or blind crests",0,"I nearly T-Bone someone at this intersection once a week as people fly around the corner without giving way or stopping to look.",115.378267765,-33.6705148804
"VASSE, SW","10, Yalyalup","Poor road surface quality",0,"How many more people need to crash & die before this road is dual carriage. It�۪s not the speed limit that is the problem. It is the people doing 60km on a hwy with no safe chances to overtake.",115.4372763634,-33.6466533863
"VASSE, SW","Busselton Byp, Bovell","Other",0,"Needs to be double lanes. Too much traffic uses this road. Including log trucks.",115.3583335876,-33.6639250543
"VASSE, SW","10 & Wonnerup South Rd, Yalyalup","Lacks median strip/traffic separation",2,"Difficult to enter highway with oncoming traffic doing 110km/h. No slip lane and vehicles take risks everyday",115.4403018951,-33.6452064812
"VASSE, SW","Caves Rd, Abbey","Little chance to turn/cross traffic",1,"The road is very busy,filled with large volumes of cars,trucks and buses that bank up during holiday periods and morning/arvo.Caves road cannot handle so much constant traffic,it is difficult to get a break and turn right to Dunsborough.Speed limit is also too high.",115.2545456922,-33.660249136
"VASSE, SW","Bussell Hwy, Ruabon","Other",0,"The stretch between Capel and Busselton desperately needs to be dual lane. Busselton is a huge tourist destination at peak times and this single lane stretch needs to join the dual lane which accommodates Capel to Bunbury. This is a high road statistic area and as a Busselton resident would welcome a safer stretch for my soon to be driving teen. Thank you.",115.4561817473,-33.6371569865
"VASSE, SW","Bussell Hwy & Vasse Hwy, Bovell","Little chance to turn/cross traffic",2,"Traffic attempting to turn right onto Vasse Highway frequently backs up, filling the slip lane and blocking the right lane of Bussell Highway. The traffic coming into Busselton, particularly for events or holidays, makes it very difficult to cross Bussell Highway.",115.3673887253,-33.6619605099
"VASSE, SW","203-203 Bussell Hwy, Yalyalup","Lacks overtaking opportunities",1,"Many nears misses from oncoming overtaking cars",115.4096264791,-33.6559507314
"VASSE, SW","240-452 Ruabon Rd, Ruabon","Lacks overtaking opportunities",0,"Too much traffic for single lanes between Capel and Busselton. In holiday season it is wall to wall traffic.  Too many drivers sitting 10-20 kms below the speed limit when the road changes from double lanes to single lanes and not enough overtaking lanes",115.4992675781,-33.6474929374
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Lacks overtaking opportunities",0,"So many deaths from poor planning",115.480556488,-33.6150481598
"VASSE, SW","Caves Rd & Yallingup Beach Rd, Yallingup","Vegetation/objects block visibility",0,"Cutting Corners, Pulling out in front of other Drivers",115.0338506699,-33.6464033057
"VASSE, SW","Caves Rd, Yallingup","Lacks overtaking opportunities",0,"People doing 60 in the 90 zone or people recklessly overtaking into oncoming traffic. Would be safer to have overtaking lane. Kangaroos are also an issue and more signage is required.",115.0490427017,-33.6427949186
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Lacks overtaking opportunities",2,"Too many close calls. Too many accidents. Too many injured and TOO MANY KILLED.",115.4745483398,-33.6169065606
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Lacks overtaking opportunities",1,"No slip lane for traffic entering onto major highway. Danger to those crossing highway across two lanes when traffic doing up to 110 kilometres. Needs double lanes all the way from Capel to Sues Road, massive congestion on peak times of week. Dangerous road.",115.4813879728,-33.6149498778
"VASSE, SW","Reinscourt","Poor or confusing signage",0,"When exiting Tuart Dve, numerous near misses and a fatality. People reversing in the wrong direction as they were unsure which way leads to Busselton. A driver drove in the wrong direction on a one way dual carriageway. People doing u turns to try and turn around to head to Busselton. Needs a BIG green main road sign oppost that reads Busselton with a direction arrow Bunbury with a direction arrow Dunsborough etc...most of the incidents I have witnessed are rental cars ( yellow key logo on doors",115.4034258522,-33.6649055849
"VASSE, SW","10, Ruabon","Other",0,"extremely busy road, needs dual carriage for slower vehicles. too many risks as too condensed ",115.4484128952,-33.6404994056
"VASSE, SW","10, Ludlow","Lacks median strip/traffic separation",0,"Unsafe practices by impatient drivers",115.5059623718,-33.6050406972
"VASSE, SW","503-737 Cape Naturaliste Rd, Naturaliste","Vehicles travel over the speed limit",0,"Setting sun in late afternoon combined with narrow winding road and speed is an issue",115.0459098816,-33.5791946271
"VASSE, SW","10, Ludlow","Other",0,"Single lane from Capel to Busselton. Needs dual lanes. Very busy road, with lots of trucks and caravans/tourists.  This equals erratic speeding and overtaking.",115.4743261042,-33.6215460358
"VASSE, SW","Cape Naturaliste Road, Dunsborough","Narrow road, lanes or bridges",0,"Cape Naturaliste Road from Dunsborough to the lighthouse is too narrow in parts (especially closer to Dunsborough), so much so there is no space for the side of the road line marking! ",115.0350952148,-33.5757264462
"VASSE, SW","10, Ludlow","Lacks overtaking opportunities",0,"tHE NUMBER OF SERIOUS ACCIDENTS ON THE STRETCH OF ROAD BETWEEN BUSSELTON AND CAPEL SPEAKS FOR ITSELF.",115.4875946045,-33.6140474658
"VASSE, SW","Busselton to Capel. Bussel Highway","Confusing layout",3,"Intermittent passining lanes in both directions causes confusion and frustration for drivers particularly at busy holiday periods as visitors and locals travel between their destination. Plans to convert this part of the route to a dual carriageway needs urgent funding to avoid further fatalities.",115.5157470703,-33.6512082992
"VASSE, SW","10, Ludlow","Lacks overtaking opportunities",0,"Bussell highway between Capel and Bunbury is the most dangerous and frustrating road in SW WA.  There are frequent fatalities causes by drivers doing silly things are the road should be a dual carriage way.    Overtaking is limited and pointless.  As soon as you�۪ve overtaken a slow vehicle you�۪re behind another slow moving car. This causes some drivers to take big risks.  Please upgrade this road as a matter of urgency!",115.4927444458,-33.6126178828
"VASSE, SW","3763-3763 Caves Rd, Wilyabrup","Narrow road, lanes or bridges",2,"This is a main tourist route between Dunsborough and Margaret River with multiple accidents occurring during peak tourist times.  There are many wineries, breweries and other tourist hotspots which have their entries directly onto Caves Road.  Drivers frequently stop in a hurry.  ",115.0345373154,-33.7753594682
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Vehicles travel over the speed limit",0,"",115.4786682129,-33.6159058882
"VASSE, SW","10 & Vasse Hwy, Bovell","Little chance to turn/cross traffic",0,"In busy periods this intersection is an accident waiting to happen with traffic on four lanes of highway ple local traffic from growing subdivisions and sporting complex traffic",115.3674813957,-33.661828683
"VASSE, SW","Bussell Hwy & Sues Rd, Yalyalup","Lacks median strip/traffic separation",0,"Turning right and someone then goes into passing lane blocking your access. People going too fast trying to overtake  Selfishness of drivers. Road trains take ages coming upto speed blocking one lane",115.4206466675,-33.655780832
"VASSE, SW","10, Ludlow","Lacks median strip/traffic separation",0,"This is a very busy main highway on which there have been many accidents and several deaths. This road should have been dual carriage a long time ago, but still the government procrastinates due to political reasons.",115.4695701599,-33.6258406206
"VASSE, SW","cape naturaliste rd","Tight curves or blind crests",0,"Cape naturaliste Rd  to the light house ( a tourist destination )  has no allocation for cyclists /walkers",115.0927734375,-33.6466355234
"VASSE, SW","10, Ludlow","Narrow road, lanes or bridges",0,"",115.4621887207,-33.6300571751
"VASSE, SW","10 & Sues Rd, Yalyalup","Confusing layout",0,"Vehicles pull out ready to use the overtaking lane however slow trucks pull out of Sues Road and are often still in the overtaking lane waiting to pull into the left hand lane.",115.4208183289,-33.6549235006
"VASSE, SW","200-230 Marrinup Dr, Yallingup","Poor or no median strip",0,"when I worked I was a professional driver. Coaches and trucks. Many times I have seen people overtaking against a solid line on this section of road between Capel and Busselton. Its a really dangerous road",115.051574707,-33.6603531219
"VASSE, SW","Busselton Byp & Queen Elizabeth Ave, Bovell","Little chance to turn/cross traffic",0,"Opportunity to turn Right from QEAvenue onto Bypass is difficult and unsafe with vehicles and especially heavy haulage vehicles turning right onto QEAvenue and three lanes of oncoming traffic heading west including one lane  turning left.  There is traffic coming and going from a rubbish tip, a cement operation, a timber mill, to name a few and residents from Ambergate, Whitmoss and the Dunbarton area to Vasse using Queen  Elizabeth Avenue to get onto the bypass. ",115.3262329102,-33.671782783600015
"VASSE, SW","Albert St & West St, Busselton","Little chance to turn/cross traffic",1,"There need to be more traffic light filters. Only 2 exist. Needs filters from all directions.",115.3415751457,-33.6528694427
"VASSE, SW","Busselton Byp & Queen Elizabeth Ave, Bovell","Area requires lights/roundabout",0,"The Busselton Bypass is often very busy, and this nominated area needs lights for safe traffic exit from Queen Elizabeth ave turning right onto the Busselton Bypass going in an easterly direction",115.3244304657,-33.671532776
"VASSE, SW","Bussell Hwy, Ruabon","Lacks overtaking opportunities",1,"hwy is single lane only and needs to be duel lane to stop traffic congestion",115.4515457153,-33.6389184135
"VASSE, SW","146-236 Gulberti Rd, Abba River","Poor road surface quality",0,"poorly maintained unsealed road. Large trees right on road and corner. poor visibility City if Busselton refuse to maintain the road adequately and the speed limit if 110 is way too high!",115.5149745941,-33.6679254426
"VASSE, SW","Bussell Hwy, Bramley","Little chance to turn/cross traffic",0,"Busy weekends, holiday times and traffic on Bussell Hihgway makes this farm difficult to get into and out of.  No run off area.",115.0862503052,-33.8932173794
"VASSE, SW","7388-7388 Bussell Hwy, Metricup","Vehicles travel over the speed limit",0,"Bussel Highway to Margaret River should have  signs along highway Head Lights Save Lives also Only pass on overtaking lane if safe. cars speed up so u can�۪t pass safely. City drivers don�۪t judge speeds well 110mph & they think they are in the city & just pull out. So Many times near misses. Put learning on TV after news teach these people the rules half the population don�۪t know ",115.1531982422,-33.7517478757
"VASSE, SW","10, Yalyalup","Lacks overtaking opportunities",2,"Bussell Hwy between Capel and Bunbury is dangerous, overall.  The stupidity and impatience of drivers who encounter single lane after such a long stretch of dual lane leads to dangerous overtaking, tailgating and congestion.  I travel this section twice a week and it is now a surprise to NOT come across an accident.",115.4197776318,-33.6552360704
"VASSE, SW","10, Ruabon","Narrow road, lanes or bridges",1,"Confusion at night as to weather it is dual or single lane.",115.4424154758,-33.6439149281
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Other",0,"Bussell Highway between Capel and Busselton needs to be 4 lanes all the way. Very dangerous and can become very congested where 2 lanes go to one.     ",115.4802050244,-33.6130822905
"VASSE, SW","Naturaliste Ter, Dunsborough","Vehicles travel over the speed limit",0,"This is one of  the main shopping area in Dunsborough where cars regularly speed through what is essentially a road a carpark and a pedestrian thoroughfare. There are no traffic management controls such as speedbumps or any speed restrictions (50kmph) area. Should be 20kmph.",115.10609680790002,-33.61511679300001
"VASSE, SW","10, Ludlow","Lacks overtaking opportunities",0,"Bussell Highway between Capel and Busselton needs to be  a double highway all the way passing lanes only cause congestion where lane ends..",115.5033442778,-33.6069462789
"VASSE, SW","10, Ludlow","Other",0,"The road from Capel to Busselton should be continuous all the way. Traffic on this road has increased over the last few years.",115.485534668,-33.6146192923
"VASSE, SW","Caves Rd & Wildwood Rd, Yallingup","Speed limit too high",3,"This intersection is high use, due a school being located on the corner. When entering Caves Rd from Wildwood Rd to head north, there is a corner (looking south) on Caves Rd that is very close to the intersection, that provides very little time for cars entering the intersection to come up to speed before north bound vehicles on Caves Rd, doing 80km/hr, reach the intersection. The speed limit needs to be decreased to 60km/hr on Caves Rd for a distance either side of the intersection.  ",115.0309324265,-33.6729256663
"VASSE, SW","1985-1985 Jindong-Treeton Rd, Osmington","Narrow road, lanes or bridges",11,"This is a road train route but the corner bend of the road (meters before the intersection) is very sharp and tight. Iv seen a lot of break marks leading to this bend and have heard of heaps of near missed with head on collisions due to no room for two trucks let alone tourist who use this road. Its a matter of time before a majore head on collision or a truck with livestock go threw the house that is occupied. majore livestock transport rout.",115.2029156685,-33.9076791301
"VASSE, SW","546-712 Gale Rd, Kaloorup","Narrow road, lanes or bridges",0,"The road is not wide enough for trucks and vehicles to travel at the same time, both have to have wheels on the gravel hard shoulder.  The road has a lot of sand and gravel trucks travelling at 100kmh",115.1984095573,-33.7952867889
"VASSE, SW","Gibb Rd & North Jindong Rd, Kaloorup","Poor road markings or no edge-lines",0,"There are no lines showing where Payne Road ends at intersection with N Jindong.  There have been accidents here before.  The road is rough approaching intersection too.",115.1898372173,-33.7517924783
"VASSE, SW","Wyadup Rd, Yallingup","Tight curves or blind crests",0,"Narrow road to popular surf beach. Inexperienced drivers tend to occupy the centre of road forcing other users onto verge. Road edge often damaged with deep ruts. Solution = painted centre lines & Keep Left sign for west bound traffic.",115.0119638443,-33.6934771033
"VASSE, SW","Bussell Hwy, Margaret River","Unsafe or poor pedestrian crossing",10,"",115.0737297535,-33.945522749
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Lacks overtaking opportunities",0,"I have been commuting from Busselton to Bunbury every work day for 6 years on Bussell Highway. The road should be dual carriage to handle the amount of traffic that travels on this road not only on a daily basis, but also at peak times (weekends, holidays). Too many accidents are occuring on this single lane highway.",115.4829597473,-33.6144137926
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Narrow road, lanes or bridges",0,"this road is a main road between busselton and bunbury and i have seen the traffic so busy that it has stopped going one way and people are out of their cars yet the traffic going the other way is doing over 100 kms per hour  there are lots of trucks and caravans use this road so there is always lots of slow traffic and then cars doing the speed limit ,so lots of differing speeds and then to top it off there is no median strip to separate the vehicles travelling in different directions ",115.4798698425,-33.6156914569
"VASSE, SW","Cyrillean Way & Dunn Bay Rd, Dunsborough","Other",0,"there is a proposed petrol station for this corner with 2 other petrol stations within 300 meters of new proposed one. this new proposed petrol station is unnecessary and would create sever traffic problems on the main street of  our town.",115.1037114859,-33.6163481511
"VASSE, SW","10, Ruabon","Lacks overtaking opportunities",0,"",115.4438209534,-33.6434915992
"VASSE, SW","Ludlow-Hithergreen Rd, Ludlow","Speed limit too high",0,"People speeding and overtaking in unsafe sections of the road.",115.4862642288,-33.6145478142
"VASSE, SW","Myrtle Vale, Yoongarillup","Poor or no guard/barrier fencing",0,"Having seen this section of road (with Sabina River crossing) in winter, there urgently needs to be a guard rail on both sides of highway.  The drop off into the river is right on verge and there are no markers or rails or posts, and when the drain is filled with water it is deep and dangerous and no one would escape if a wheel went over the verge.   Please consider guard rails here as this is an accident waiting to happen.",115.4397010803,-33.7212699677
"VASSE, SW","10, Yalyalup","Lacks overtaking opportunities",0,"",115.4381561279,-33.6462068133
"VASSE, SW","Busselton Byp, Bovell","Lacks overtaking opportunities",0,"Peak times severe congestion when returning to single lane. Outside peak times, dangerous overtaking on single  on non dual carriage way.",115.3300094604,-33.6712113366
"VASSE, SW","Capel to busselton","Lacks overtaking opportunities",3,"The long distance of single lane between Capel and Busselton caused holdups and frustration on drivers particularly on holiday periods",115.4072570801,-33.6577812388
"VASSE, SW","Busselton Byp, West Busselton","Other",0,"I am nominating this future intersection as a future intersection hazard. The main roads dept (if that is what they are called now) have wisely started to develop a roundabout at the intersection of Fairway Drive and Bussell Highway - the scene of many accidents. As they are doing this, further down the highway (350mt) they are constructing another dangerous intersection that replicates the dangerous that is being replaced with a roundabout.Just seems a bit stupid to me.",115.30824333430002,-33.6706398858
"VASSE, SW","10, Ludlow","Lacks overtaking opportunities",0,"Drivers who drive slowly 80 to 100ks on the single lanes then speed up to about 110 on the few overtaking lanes. Impatient drivers following too closely and/or overtaking over solid white lines. As well as being narrow the road surface is very uneven in lots of places. ",115.4921007156,-33.6132611981
"VASSE, SW","Geographe Bay Rd & King St, West Busselton","Poor or confusing signage",0,"I�۪m witnessing every day a potential accident. Cars come around the corner and miss the beach parking!! U turn on the tight bend. Very dangerous. This road has been modified but the problem still exists.",115.3305754066,-33.6503196636
"VASSE, SW","Queen Elizabeth and Busselton Bypass","Little chance to turn/cross traffic",1,"",115.3179931641,-33.7106322715
"VASSE, SW","8 Albert St, Busselton","Poor road surface quality",0,"Albert St/Bussell Highway - Busselton CBD to Busselton Hospital and beyond is a disgrace - road breaking up, potholes, heavy daily traffic-especially during holiday periods-an accident waiting to happen!",115.3421115875,-33.653494596
"VASSE, SW","Layman Rd, Ruabon","Poor road surface quality",0,"There is now too much traffic for a single carriageway road in this area  - problems daily and even worse during holidays.",115.44090271,-33.6444204978
"VASSE, SW","10, Yalyalup","Lacks overtaking opportunities",0,"People get confused when two lanes become one lane. Near miss head on collusion with car travelling on wrong street de facto f the road",115.4274192452,-33.6499356272
"VASSE, SW","617-617 Caves Rd, Marybrook","Speed limit too high",0,"Tourist  staying along this section of road  roughly 10kms,  road try to cross to walk to the beach, the speed limit is 90 kms  it is too high for people to judge and manage to cross. The rest of the road is 70kms, it should all be the same speed even less then 70kms.  The road is  also narrow and light at night is poor. ",115.1965427399,-33.6493506383
"VASSE, SW","617-617 Caves Rd, Marybrook","Speed limit too high",0,"Hard to cross the road specially around tourist season",115.1948261261,-33.6484396554
