State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"BASSENDEAN, EM","Morley Dr E, Morley","Little chance to turn/cross traffic",0,"When travelling East down Morley Drive and entering the roundabout to take the South exit on to the Tonkin Hwy, you are only given one lane to be in and then as soon as turning South you have to cross into a new lane coming down Morley Drive from the East and then exit that straight away to go South. Luckily times I have been on it, I haven't had to contend with cars going straight along Morley Drive from East to West because this is when the danger would occur.",115.9189528227,-31.8889840277
"BASSENDEAN, EM","PSP road crossing at Collier Rd/Guildford Rd intersection.","Inadequate rest or stopping areas",1,"It is a busy crossing with poor visibility, lack of space and is often blocked by cars and trucks ",115.9425643086,-31.9075474555
"BASSENDEAN, EM","51 & Old Perth Rd, Bassendean","Poorly timed traffic light system",0,"Pedestrian vs vehicle hazard for pedestrians crossing from the south cnr of Old Perth Rd across Guildford Rd toward the train station. When a vehicle is travelling City-bound and encounters a yellow light change that they cannot safely stop for, the driver's safest course of action is to continue through the intersection at a safe speed. It appears that the yellow light timing is not long enough for this, and the car barely clears the end of the intersection as the pedestrians start crossing. ",115.9472930431,-31.9038063789
"BASSENDEAN, EM","51 & Thompson Rd, Bassendean","Tight curves or blind crests",0,"NOTHING INDICATES Success Hill Rail Station is Immediately up the road, across the road from the Bassendean Oval.  Motorists on Cruise Control need Advance Warning signs to alert them to possible commuting Pedestrians crossing.",115.9559512138,-31.9018435622
"BASSENDEAN, EM","15 Nurstead Av, Bassendean","Narrow road, lanes or bridges",0,"If Right Turning Lane from Guildford Road into North Road and  Caltex had an Exclusive Right Turn Pocket, it would allow space for an Exclusive Right Turn Safe Pocket OUT of North Road.   The added benefit would be the merging of left and right Through Lanes - to the Bridge, sooner, also creating space for On Road Cyclists to use S line and Safely Crossover to P.S.P  Merging  traffic  before  Thompson St, calming @ 40kph as it  passes  GUILDFORD RAIL STATION    saw Safe Disabled Van Smashed.",115.9572440386,-31.901073908
"BASSENDEAN, EM","Collier Rd & Railway Pde, Bassendean","Confusing layout",0,"Watched an Innocent person - second vehicle stopped half under the BOOM as it Bounced up and down off the Bonnett and Roof of car.  It was IMPOSSIBLE to judge what the safe distance was in her low sedan, and not familiar with the intersection. - Sign SAYS 7m.  Please Move Traffic Lights back BEFORE the Rail Line..not Trapping Cars After the line, or On the line..",115.9423148632,-31.9075178554
"BASSENDEAN, EM","11 Geraldine St, Bassendean","Narrow road, lanes or bridges",0,"Left Turning Lane needed for Left Turning Traffic crossing Rail Line..- as a Through Left side driver, like MANY OTHERS, we change to Right Lane, through this intersection so not to Hold Up or be trapped behind Left Turners..- then need to move Left Lane immediately to avoid Right Turners into  Palmerston St..-  Shackleton St traffic has difficulty crossing to Collier Road, and the Left Lane would Greatly Benefit that Local Community who need ACCESS too...RAC Member 30 years..",115.94405293459997,-31.907645363600018
"BASSENDEAN, EM","Bottlebrush Dr & Morley Dr E, Kiara","Little chance to turn/cross traffic",0,"Intersection with fuel station and shopping centre on one corner of Bottlebrush Dr and Police Stn on the other corner. Difficulty turning into and out of Bottlebrush Dr at most times. On 'cheap' fuel days this becomes a further nightmare due to queuing. With the proposed residential development behind the police stn set to go, it will get worse. Many motorists use the Morley Dr intersection to make U-turns after exiting the fuel station. A light controlled intersection will assist greatly.",115.9386777878,-31.887487769
"BASSENDEAN, EM","51 & West Rd, Bassendean","Vegetation/objects block visibility",0,"WEST Rd/OPRD inter-sn. Heading  North or East   from Old Pth Rd onto West rd cannot see traffic heading North on West Rd as bank bldg blocking West rd view until last seconds.",115.9541273117,-31.9027361708
"BASSENDEAN, EM","Morley Dr E, Kiara","Other",0,"People often do a U turn when it is clearly prohibited. I would like to have a sign that says to not to do a U turn",115.9397426248,-31.8874854916
"BASSENDEAN, EM","3 & Altone Rd, Beechboro","Little chance to turn/cross traffic",0,"People take to many chances here as there isn�۪t a lot of time to turn right on Reid hwy going towards midland.  I have seen near misses, people speeding to the corner and around the corner to get the green light, heard of a few accidents here.  This has been a problem since the road works have been happening on Reid hwy. ",115.945469141,-31.8619223591
"BASSENDEAN, EM","Collier Rd & Iolanthe St, Bassendean","Little chance to turn/cross traffic",0,"I think a roundabout would be a good idea at this  intersection .",115.9414243698,-31.9058420171
"BASSENDEAN, EM","Bottlebrush Dr & Roseheath Blvd, Kiara","Vegetation/objects block visibility",0,"Poor visibility turning right,you can�۪t see oncoming traffic ,",115.9335681796,-31.8794093741
"BASSENDEAN, EM","Altone Rd & Benara Rd, Beechboro","Unsafe or poor pedestrian crossing",1,"Green arrow lights when pedestrians are halfway across the intersection. This should not mean open season on pedestrians but apparently it does.",115.944621563,-31.8756261551
"BASSENDEAN, EM","1 Rhine Cr, Beechboro","Vegetation/objects block visibility",0,"Garden bed/ hedge on corner house obstructs visibility of oncoming traffic Also poor lighting in area, and further around Rhine Crescent ",115.9400162101,-31.8662232379
"BASSENDEAN, EM","Fisher St, Bassendean","Poor road markings or no edge-lines",0,"",115.9420841932,-31.914915315
