Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Claremont (WA)","Freshwater Clos & Victoria Ave, Claremont","Distraction issues",0,"I was involved in an accident while riding my bike eastbound on Victoria Ave in Dec 2015 when a vehicle pulled out of Freshwater Close and blamed trade vehicles parked in the bus lane obstructing his view. The orthopaedic surgeon who operated on my back and neck said there were cyclists involved in collisions with vehicles requiring surgery on at least a monthly basis on Victoria Avenue.",115.7826805115,-31.9885910198
"Middle Swan","401-401 Great Northern Hwy, Middle Swan","Little chance to turn/cross traffic",528,"At peak times during school drop off and pick up the intersection (or lack of) cant address the necessary excessive traffic, forcing drivers to make risky decisions abut crossing and merging into a already very busy Road (Great Northern h/Way). In my case exiting Swan Christian Collage and trying to turn right to head south it is only through courteous actions of other who slow down and let people merge that prevents a complete standstill in traffic. A roundabout or Traffic lights are needed",116.0140371323,-31.8582500516
"Bennett Springs","3, Beechboro","Narrow road, lanes or bridges",0,"traffic congestion due to continual switching between one lane and two lanes - Urgently needs a second continuous lane (it is gazetted as a Highway...)",115.935459137,-31.8620681549
"Henley Brook","West Swan Rd & Woollcott Ave, West Swan","Area requires lights/roundabout",2,"With the new suburbs being built around this area, it is getting more and more busier coming from Ellenbrook direction. This intersection doesn't give you much of an opportunity to cross traffic when it is so busy",115.9946501255,-31.8321797554
"Golden Bay","56-62 Marillana Dr, Golden Bay","Vehicles travel over the speed limit",0,"A lot of dead wildlife, including kangaroos, bettongs and lizards. Many near misses as hoons speed along the road with disregard of the growing population of young families in the area.",115.7511216402,-32.427272926
"West Swan","101-101 Woollcott Ave, Henley Brook","Narrow road, lanes or bridges",0,"Woollcott Ave is extremely narrow and when two cars are passing each other, you end up almost in the ditch - it is even worse when there are larger vehicles/trucks coming in the opposite direction. The suburb is being built up so this area along with West Swan road would benefit from dual lanes in both directions",115.9850692749,-31.8271662688
"Rivervale","Orrong Rd & Roberts Rd, Lathlain","Little chance to turn/cross traffic",14,"Very dangerous intersection for motorists, particularly those turning right off Roberts Road to get onto Orrong. Orrong Road speed is too high for motorist to make a safe turn. ",115.9153774381,-31.9687082942
"Caversham","203, Caversham","Narrow road, lanes or bridges",0,"West Swan road is absolutely awful. There is so much traffic in this area due to new suburbs being built and people commuting to work that at both sets of traffic lights and the roundabouts, you can have traffic backed up especially in peak hour. I have seen cars pass on solid double white lines and almost cause accidents. This road would also benefit from dual lanes going both ways. It is time that the roads caught up with the expansion of the area as it will only get busier",115.9744691849,-31.8799309496
"Mount Hawthorn","Scarborough Beach Rd, Mount Hawthorn","Little chance to turn/cross traffic",60,"Drivers from Green St get impatient waiting to cross the oncoming traffic onto the eastbound section of Scarborough Beach road and often take risky actions by driving across when there is not much space, and then pushing into traffic to get to the left hand lanes.  I live locally so often see risky behaviour here.",115.8287340403,-31.9144508568
"Baldivis","Palomino Pde, Baldivis","Vegetation/objects block visibility",0,"Entering the roundabout from Palomino parade, I've almost been collected by trucks, 4x4s, and other vehicles speeding north along Baldivis Rd for several years. From Palomino Parade, you just dont have enough visibility of what is travelling North when you come to a stop to assess the intersection.",115.8265775442,-32.346154329
"Baldivis","29-37 Heritage Park Dr, Baldivis","Vehicles travel over the speed limit",0,"Every night I hear vehicles screaming down the road at speeds that would be well above the speed limit. Occasionally during the day I'll also see the same behaviour. During the day its a huge concern as there are a lot of children living in the homes here. I'm surprised no one has been hit yet.",115.8297264576,-32.3454427979
"Wembley","2, Wembley","Poorly timed traffic light system",0,"At peak hour traffic gets banked back from exit at Powis Street to nearly all the way back to Leederville. The cars at the Powis St lights that are turning right block cars exiting from the freeway and from turning left. It can be difficult to merge given the different speeds in the lanes.  Cars constantly stop and start on the freeway with other cars going at speed trying to merge into a gap.",115.8269262314,-31.9242108175
"Wembley","Powis St, Glendalough","Narrow road, lanes or bridges",7,"Traffic on Powis Street on-ramp to freeway can get so backed up during peak hour that it causes issues with cars trying to squeeze in close to on-ramp rather than wait in line.  I have seen some drivers abusing each other trying to do this, and they can often block the left lane trying to merge into the right lane to go up the on-ramp.",115.825252533,-31.9226081332
"Hazelmere","311-311 Stirling Cres, Hazelmere","Other",1,"Edge of road has a large drop off and cars lining up at the traffic lights are unable to go around other cars to be able to turn left at the lights without risking their car going down the large pot hole",116.0086405277,-31.91624720440002
"Harrisdale","130-132 Wright Rd, Harrisdale","Tight curves or blind crests",8,"It is very dangerous to try to cross the road. Cars go too fast. You can�۪t see past the bus stop when a bus is there.  Trees bushes obscure the view. The road is bendy so vision is limited. You can�۪t stop in the middle.  Many families cross here taking children to school.  It is an accident waiting to happen. I submitted a petition to council of over 100 signatures about 4 years ago.  They lost it apart from the first page and nothing has happened to make it safer",115.9330022335,-32.114385301
"Hacketts Gully","Lockwood Rd, Hacketts Gully","Poor road surface quality",0,"a very popular road when travelling to / from Mundaring from the southern suburbs,  Requires bitumen.",116.1451220512,-31.9809060005
"Greenmount (WA)","94 & Scott St, Greenmount","Little chance to turn/cross traffic",38,"",116.0477256775,-31.9026268723
"Wandi","Liddelow Rd & Rowley Rd, Banjup","Little chance to turn/cross traffic",0,"When heading north from De Haer Rd to Liddelow Rd, there is a dog-leg on Rowley Rd. You have to enter left onto Rowley Rd then stop and turn right onto Liddelow Rd. This causes a problem for traffic heading west on Rowley Rd. They have to slow/stop to allow you to turn - there is no room for them to get around you. The road needs to be widened at this point to create a turning lane. Otherwise dangerous!!",115.8889389038,-32.1804434958
"Harrisdale","Canine Association, 11 Ranford Rd, Southern River","Other",2,"Speed limits on access roads (3) is 80, lanes at roundabout are very tight and road camber is AWAY from centre when travelling NW on Ranford",115.9471321106,-32.1149487057
"Floreat","Glengariff Dr & Louth Rd, Floreat","Lacks median strip/traffic separation",0,"After living in Floreat for over 26 years I avoid this intersection at all costs. Traffic heading East down Glengariff Dr turning right on to Louth Rd will continually cut the corner and risk having a head on collision. The intersection is very wide and has no medium strip which allows this to happen.",115.7856792212,-31.9378438873
"Ludlow","10, Ludlow","Lacks overtaking opportunities",10,"No room for human error on this stretch due to lack of dual carriageway. Popular road for inexperienced foreign drivers",115.5143737793,-33.6000365303
"Balcatta","10-24 Beryl St, Balcatta","Vehicles travel over the speed limit",0,"Although speed-bumps are in place, because of the type of speed-bump they have little to no effect on most vehicles. Bumps need to be replaced to be full width and larger as it is not uncommon for vehicles to hoon through here at 70km/h on a quite residential street.",115.8218193054,-31.8775120898
"Wembley","Cambridge St & Selby St, Floreat","Little chance to turn/cross traffic",7,"There is no right turn green arrow for drivers on selby street at the intersection to turn onto Cambridge street. Especially during peak hour, drivers take risks after the lights change just to get across...",115.8041703701,-31.9407846685
"Stirling (WA)","69-91 Jones St, Stirling","Poor or confusing signage",0,"There are one or two signs saying 'Remember 50km/h in built up areas'. However these are easily ignored and most people on the road would travel in excess of 60km/h. They need to put in 50km/h speed limit signs continuously along the street.",115.8155751228,-31.8827597051
"Harrisdale","Northerly Dr, Harrisdale","Tight curves or blind crests",0,"Close calls with card and kids",115.9210253645,-32.1178154551
"Crawley","Kings Park Ave & Mounts Bay Rd, Crawley","Little chance to turn/cross traffic",8,"Should not be able to turn right off Mounts Bay Road into Kings Park Ave (when heading west), especially in Peak hour (6am - 10am M-F).  causes a bank up of traffic and high risk of rear end accidents.   ",115.826510489,-31.9729746042
"Ocean Reef","28-34 Tiller Rd, Ocean Reef","Vehicles travel over the speed limit",0,"Main thoroughfare rd typically sped through. Also used by a lot of pedestrians and  children",115.7433672796,-31.7691310274
"Churchlands","11-33 Alumni Ter, Churchlands","Vehicles travel over the speed limit",1,"The road is used as a short cut between Empire Ave and Pearson St. Cars almost always travel at the same speed as on those main roads. The street is a small local street and is alongside a park and close to many schools, I have seen many many times families try to cross the road only to have a speeding car approach before they expect. It�۪s only a matter of time before someone gets injured. The street is also frequented by many heavy vehicles (trucks, semi-trailers) as there is no other quick way",115.7920575142,-31.9240469079
"Wembley","72 & Jersey St, Wembley","Little chance to turn/cross traffic",51,"This interestion is subject to many near misses, swerving vehicles and people pulling in dangerously after waiting excessive times to enter Grantham Street. The intersection is heavily used as it adjoins a large primary school and Ian the road off Grantham down to the shopping centre. There is always pedestrians around the intersection and it is only a Meyer if time before a serious accident occurs unless lights are installed ",115.8116805553,-31.934509219
"Morangup","4122-4254 Toodyay Rd, Morangup","Other",1,"Fatalities / Roll Overs / Run Off Road / Near Miss Head On's",116.3455152512,-31.6771601599
"Wanneroo","84 & Backshall Pl, Wanneroo","Little chance to turn/cross traffic",3,"With the impending upgrade to Wanneroo and Ocean Reef intersection it will mean a constant flow of traffic making it a risk to complete a right hand turn safely",115.7999753952,-31.7783069898
"North Perth","395-397 Charles St, North Perth","Unsafe or poor pedestrian crossing",4,"Between Vincent St and Walcott St, this is a very dangerous road, there are many car, bike and motorcycle incidents and dangerous pedestrian crossings. There are no pedestrian bridges or underpaths causing pedestrians to take unnecessary risks to cross through heavy traffic. Not acceptable considering this is a major artery in/out of the CBC.",115.8513803141,-31.9243925053
"West Leederville","Cambridge St, West Leederville","Poor road markings or no edge-lines",0,"far left lane has option to go straight or turn left onto freeway. Lights will be green but turning arrow will be red. At peak hour, when the traffic is built up, people far back in the left lane to not realise that it is a turning lane and therefore get roadrage, tooting their horn and sometimes even getting out of their vehicle. Also, the turning lane is to the freeway, however there is no signage to advise this. ",115.8400315046,-31.9406481018
"Applecross","Kintail Rd, Applecross","Confusing layout",3,"When turning right from Kintail Road onto the Canning Highway Entry, Vehicles are also turning right from Canning Highway onto Canning Beach Road. Both have green lights but, especially in peak hour, there is little other opportunity for the vehicles coming from Kintail road to go. I see many drivers coming from Kintail road taking high risks when turning. Uncountable near misses and many accidents have occurred due to this.  ",115.85113585,-32.011212361
"Yangebup","Spearwood Ave & Yangebup Rd, Yangebup","Area requires lights/roundabout",5,"",115.8083117008,-32.1217569947
"Midland","Clayton St, Bellevue","Area requires lights/roundabout",54,"This is a reasonably new shopping area included in a light industrial area with large amounts of traffic especially in peak times. Many vehicles turning in from military road at the same time as people entering and exiting midland megaplex especially now that the spudshed has opened up.  Short stopping distance between leaving megaplex and those vehicles wanting to turn into military rd. also ther is limited entry or exit options to the megaplex.",116.017062664,-31.8982366064
"Kelmscott","Denny Ave & Railway Ave, Kelmscott","Poorly timed traffic light system",4,"Vehicles backed up in for an incredibly long distance, as multiple trains and confusing lights which are poorly timed. Signs are confusing, and the slightest driver error can cause major crash concerns.",116.013430953,-32.1160368847
"Middle Swan","Gugeri Rd & Oakover Rd, Herne Hill","Vegetation/objects block visibility",0,"Drivers missing stop signs on side streets. For vehicles driving directly on Oakover it is hard to see any on coming traffic from the side streets. I have personally had a near miss on this road with another driver not stopping at a stop sign.",116.0374045372,-31.8453183558
"Bibra Lake","Port Kembla Dr & Spearwood Ave, Bibra Lake","Little chance to turn/cross traffic",0,"You have to turn across two lanes of traffic and people try and push you across while you wait patiently for the traffic to clear which can take ages. A roundabout would be a great addition to this tricky crossing",115.8011046052,-32.1015214625
"Innaloo","1-5 Minilya St, Innaloo","Other",0,"The road contains several pinch points, including one near the intersection. Cars frequently have near misses as they come onto Minilya Street from Odin Road.",115.796391964,-31.8964808969
"Karrinyup","76 & Jeanes Rd, Karrinyup","Other",1,"Right hand turn from Jeannes Rd onto Karrinyup road needs a turn arrow. Drivers assume they have right of way over cars exiting Karrinyup shopping centre.",115.7758569717,-31.8775212005
"Innaloo","De Grey St & Dongara St, Innaloo","Confusing layout",2,"There is a flat roundabout at the intersection which is an odd shape. It is very confusing as to what you are meant to do and most cars simply drive over it which makes giving way difficult.",115.7990795374,-31.8984620453
"Innaloo","Beatrice St & Shaw Rd, Innaloo","Confusing layout",0,"The road reduces to one lane between Thor St and Beatrice St but there are no signs to indicate who is allowed to drive on this section of road. I have even seen police cars get caught here with one car having to reverse to free up space on the road.",115.7940369844,-31.8941353443
"Innaloo","47-53 Oswald St, Innaloo","Other",0,"There is a pinch point located right before the roundabout. Cars get confused because people coming off the roundabout need to enter the pinch point at the same time that people entering need to. It is very difficult to keep track of everything here.",115.8000773191,-31.8993911209
"Innaloo","King George St & Odin Rd, Innaloo","Area requires lights/roundabout",0,"There is so much traffic trying to turn between King George St and Odin Rd that motorists often perform risky manouvers. It is compounded by the recent closure of the Odin Rd entrance onto Beatrice St. There is also a pedestrian crossing on Odin Rd which requires people to monitor traffic on both roads. I have almost been hit by cars as a pedestrain several times here.",115.7959038019,-31.8974145469
"Crawley","Hackett Dr, Crawley","Poor or no provision for cyclists",3,"There is a cycle path along Hackett Dr but it disappears when you reach roundabouts on the road. This brings cyclists into the same lane as motorists without warning. It is compounded by the fact that most motorists are UWA students looking for parking along the street. They do not notice cyclists suddenly entering their lane and cyclists never slow down or consider the cars.",115.8205264807,-31.9812813939
"Innaloo","1-15 Drysdale St, Innaloo","Confusing layout",0,"There are several sections of the road where it reduces to one lane. Not clear who has right of way in these circumstances.",115.7977437973,-31.8984233336
"Kelmscott","Denny Ave, Kelmscott","Confusing layout",7,"Too many trains and too many accidents",116.0140451789,-32.1159119379
"Innaloo","25-33 Dongara St, Innaloo","Confusing layout",0,"The road contains several combinations of traffic slowing devices, including pinch points and lane narrowers. It does not slow down the traffic but actually increases speed as motorists are frustrated at not being able to drive in a straight line.",115.7992458344,-31.8972483123
"Willagee","1 & Winnacott St, Willagee","Little chance to turn/cross traffic",2,"",115.8050410942,-32.0476146351
"Innaloo","King George St & Thor St, Innaloo","Poor or no median strip",0,"Cars turning right from King George St onto Thor St often cut the corner, even when there is a car present. Recent introduction of painted line has not solved the issue.",115.7946646214,-31.897366726
"Innaloo","Boronia St & Phillips Grv, Innaloo","Other",0,"Cars travelling on Phillips Grove frequently ignore the stop sign posted at the intersection. There are also numerous cars parked on Boronia St which makes it difficult to see oncoming traffic.",115.7914942503,-31.8962850569
"Innaloo","64, Innaloo","Little chance to turn/cross traffic",0,"Cars want to turn right into the far lane of Scarborough Beach Road. There are too many cars on Scarborough Beach road for this to be safe and often the road is blocked up by people attempting it. It should be made illegal to do this from here,",115.7978403568,-31.9023877812
"Innaloo","64 & Liege St, Innaloo","Poorly timed traffic light system",0,"The lights do not stay green long enough for cars turning right from Scarborough Beach Road onto Leige Street. Several cars go through the red light each cycle.",115.7984143496,-31.9026929068
"Innaloo","64, Innaloo","Poorly timed traffic light system",0,"The lights do not stay green long enough for cars turning right from Scarborough Beach Road onto Odin Road. Several cars go through the red light each cycle.",115.7960432768,-31.9016409024
"Hilbert","4 & Forrest Rd, Brookdale","Other",11,"Its extremely dangerous when pulling out and turning right from Forrest Rd onto Tonkin Highway. The speed limit is too high and something should be done about this section of road.",115.9618091583,-32.1601914647
"Innaloo","64, Innaloo","Poorly timed traffic light system",2,"With the traffic for Ikea and the shopping centre traffic there needs to be more lanes, for the motorist turning right at the lights onto Cedric Street. ",115.8026683331,-31.8938597948
"Manypeaks","42555-42555 South Coast Hwy, Cheynes","Narrow road, lanes or bridges",1,"",118.2718992233,-34.7933650634
"North Perth","Loftus St, Mount Hawthorn","Tight curves or blind crests",2,"nearly taken out daily by cars driving over two lanes to go through that dogleg type road",115.846222043,-31.9247662868
"Keysbrook","224-332 Gobby Rd, Keysbrook","Poor road surface quality",0,"Family has lived on road for over 100 years, many accidents and near misses over the years with high level off offroad and hoon vehicles in an environmentally sensitive area and high fire danger area with poor access and poor road conditions. Road has mining vehicles, rubbish trucks, general traffic and horses being ridden on it. Large rates paid with little to no maintenance on road.",116.01193428040007,-32.44267572760001
"Oakford","Abernethy Rd & Hopkinson Rd, Oakford","Little chance to turn/cross traffic",33,"Multiple vehicle collisions, near misses and single vehicle accidents ",115.9726238251,-32.2192276332
"Warnbro","1 & Royal Palm Dr, Warnbro","Area requires lights/roundabout",36,"At least one crash a week. Cars coming off Ennis ave think they have more time to cross over and often crash into oncoming traffic.",115.7699571846,-32.3493066434
"Welshpool (WA)","Kurnall Rd & Orrong Rd, Welshpool","Little chance to turn/cross traffic",0,"One death in last 6 months, around 2 accidents a month.",115.9549427032,-31.9958113483
"Newlands (WA)","South West Highway & Langridge Road Brookhampton.","Vegetation/objects block visibility",0,"Difficulty pulling across road. Accidents x 4 Cars run off road.",115.8576909173,-33.6732365662
"Leeming","13, Leeming","Other",2,"Bus lane, need to change lanes, sudden stops because of four traffic lights in close succession",115.8553791046,-32.0658899434
"Floreat","The Boulevard, Floreat","Poor or confusing signage",0,"No ���Form One Lane�۝ signage",115.8039262891,-31.9396466065
"Mount Nasura","23-25 Hill St, Kelmscott","Vehicles travel over the speed limit",0,"Excessive speed also hoons  on uregistered off road bikes.",116.031697,-32.130804
"Kinross","Connolly Dr & Selkirk Dr, Kinross","Little chance to turn/cross traffic",1,"Many many crashes at the lights Turing east from Connolly drive through lights to Selkirk ave",115.7405591011,-31.7188952349
"Jindong","360-476 Kaloorup Rd, Jindong","Tight curves or blind crests",23,"14 accidents and 2 fatalities, this road is now a major route that is carrying more local traffic with increase of businesses along with heavy trucks.  ",115.2461528778,-33.7160226782
"Thornlie","Yale Rd, Thornlie","Confusing layout",11,"I believe there should be traffic lights in this intersection as the lanes are too confusing in this roundabout.",115.9381628036,-32.0621939606
"Banjup","Nicholson Rd, Banjup","Area requires lights/roundabout",4,"This is a roundabout which use to be a set of traffic lights before the development around the area. Now the intersection is getting more dangerous with the amount of traffic that use it. The city of Gosnells have no apparent reason to believe that they need to change this intersection despite all the recent traffic issuse and frount to tail accidents at that intersection.",115.9159469602,-32.1154454681
"Mundijong","Kargotich Rd & Mundijong Rd, Mundijong","Other",4,"People turning and not giving way to oncoming traffic",115.9526159486,-32.2958591404
"North Coogee","12 & Rollinson Rd, Hamilton Hill","Little chance to turn/cross traffic",2,"when turning right into Rollinson Road, cars behind don't always have enough room to pass on the left or they don't see me stopped and I have almost been hit a few times, in the morning, turning left onto Cockburn road the traffic is quite heavy and fast and it is difficult to get a chance to turn. ",115.7609760761,-32.082274577
"Floreat","Birkdale St & Cambridge St, Floreat","Area requires lights/roundabout",0,"Far too many close calls with cars crossing. Accidents have occured and with coffee shops at the intersection, concerned that a car will hit people.",115.8013835549,-31.9408028774
"Wembley","72 & Nanson St, Wembley","Other",0,"When heading south on Nanson st towards grantham it isnt possible to see oncoming traffic unless tou pull out a cars length in front of the stopusign",115.8152961838,-31.9343387311
"Currambine","Burns Beach Rd, Currambine","Other",0,"Drivers not in the correct lane turning where they want/need to go, usually by avoiding traffic build-up in the correct lane.",115.7431179285,-31.7246309705
"Mirrabooka (WA)","56, Mirrabooka","Other",0,"I was in a car accident coming off Reid Hwy onto Alexander Dr and another car coming from my right had run a red light and T-boned me. My car was written off due to this incident. It would be helpful if there were warning lights before coming to the intersection. On many occasions I have witnessed aftermaths of car crashes happening in that area.",115.87824761870006,-31.867414600500002
"Churchlands","1-5 Flynn St, Churchlands","Little chance to turn/cross traffic",0,"The Herdsman sees quite a bit of vehicle traffic.  Combined with structure of the entrance, the lack of parking and the general street structure makes for a risky location.  The media strip needs to be closed, and a roundabout installed West of the shops in order to allow people to enter and exit only while traveling west (and then use the roundabouts to get access to the shops.  Traffic comes from too many directions.",115.8018636703,-31.9310993102
"Floreat","65, Floreat","Little chance to turn/cross traffic",7,"If you are travelling north/south and want to turn left right, there are so many close calls and accidents. It is a very busy intersection. It was fixed the other way with arrows why not the whole intersection!",115.7917651534,-31.9478130274
"Jandakot","Jandakot Rd & Solomon Rd, Jandakot","Lacks median strip/traffic separation",14,"",115.8751760228,-32.1119805156
"Beermullah","Beermullah West Road /Brand Highway","Tight curves or blind crests",1,"it has had a couple accidents  turning from Beermullah west road on to Brand Highway   needs a proper turn off section coming from North.",115.7601928711,-31.1399541171
"Nowergup","60, Carabooda","Narrow road, lanes or bridges",2,"90 zone and vehicles entering and exiting the service station with no way of passing. Alot of traffic on this road with alot of trucks. Also the intersection of Karoborup road.",115.7174813747,-31.6252207222
"Casuarina (WA)","Marri Park Dr & Thomas Rd, Anketell","Area requires lights/roundabout",1,"Drivers tale major risks in the morning and and afternoon traffic to either merge onto Thomas road or to turn into Marri park drive with cross traffic going 90kph  School buses dropping off kids on this corning leaving our kids walking on a 90km road or crossing thomas road. Either slow the traffic down or time to put roundabouts or lights on thomas road",115.8704423904,-32.2277775283
"Midland","Ferguson St, Midland","Little chance to turn/cross traffic",4,"I�۪m Generally very confident behind the wheel of a car and I still get unnerved everytime I have to turn into opposing lanes leaving shops from this section of road. Dense retail/commercial area 4 lanes of very busy traffic, no devider/median. People are constantly changing lanes so impossible to judge because of stopped cars turning into shops. Bunnings area is the absoloute worst, ",116.0192191601,-31.892835017
"Floreat","116 Lissadell St, Floreat","Other",0,"Cars turning right out of Seymour Ave onto The Boulevard rarely give way to cars turning left out of Lissadell. Even though they are a continuation of the same street, the cars turning in front of oncoming traffic think they have the right of way. Many accidents and near misses here. Maybe needs a roundabout?",115.7988488674,-31.9379963914
"Whitby","Keirnan St, Mundijong","Poor road surface quality",0,"Children and parents with prams having to go on the road to cross the train tracks. Speeding cars coming around the corner and nearly hitting kids on bikes or scooters as there is no footpath for them to go on. No boom gates and cars crossing after the lights have started flashing to signal a train. Very poor quality road.",115.9908360243,-32.2822982135
"Serpentine (WA)","Karnup Rd, Serpentine","Tight curves or blind crests",0,"I have lived in area for 15 years and we have had many deaths or bad accidents along this road",115.9398472309,-32.3602478358
"Perth (WA)","55-55 William St, Perth","Other",1,"Taxis parked on the moving lanes. Pedestrians crossing everywhere, especially against red lights. Constant lane changing. Bus conflicts. Traffic queued through intersections, cars in bus lanes, queue jumping. Congestion conflicts.cyclist conflicts. Cyclists riding through red lights. Motorcycle conflicts.",115.8566772938,-31.9542377699
"Gooseberry Hill","Ridge Hill Rd, Gooseberry Hill","Vegetation/objects block visibility",0,"Traffic travels fast through badly designed roundabout made worse by verge vegetation obscuring oncoming traffic entering roundabout. Very little time to react",116.0326892138,-31.9433771212
"Jandakot","227-237 Jandakot Rd, Jandakot","Lacks median strip/traffic separation",0,"Multiple vehicle accidents.  Involved in 1 near this section.  Regular traffic jams and frustrated drivers",115.881151939,-32.1144762905
"Muchea","Archibald St, Muchea","Vehicles travel over the speed limit",1,"This street is 50kmh, cars constantly travel much faster. As there is no footpath, it is very dangerous when trying to go for a walk especially with kids in tow.",115.9756952677,-31.5810486181
"Muchea","1 & Great Northern Hwy, Muchea","Poorly timed traffic light system",1,"Poorly times traffic lights. Sometimes can be sitting there waiting for ages.",115.9955038931,-31.5769135205
"Serpentine (WA)","20 & Karnup Rd, Serpentine","Lacks overtaking opportunities",1,"Some near misses involving horse floats trying to turn onto Karnup Rd as there is no turn-only lane.",115.9912292587,-32.3644564396
"Byford","Abernethy Rd & Kardan Blvd, Byford","Little chance to turn/cross traffic",8,"Near misses daily, agitated drivers ",115.9781652689,-32.2195997791
"Byford","Thomas Rd, Darling Downs","Area requires lights/roundabout",3,"Use this intersection daily, trucks and cars are speeding it�۪s very dangerous, at night there is very little lighting",115.9777414799,-32.2070594375
"West Ballidu","12855-12855 Northam-Pithara Rd, East Ballidu","Narrow road, lanes or bridges",2,"The road is in poor condition and narrow road trains and heavy vehicles use this road and it is dangerous to pass as the road egge has a 70 to 100 mm drop off the sealed section to the gravel shoulder.",116.7221832275,-30.5362422547
"Booragoon","Leach Hwy, Booragoon","Other",0,"Heavy trucks travelling West at speed in the right lane refusing to allow smaller vehicles to merge when changing lanes as approaching intersection with intent of turning into shopping precinct on North side of Leach Hwy",115.8244585991,-32.0460239854
"Wembley","13-29 Pangbourne St, Wembley","Other",0,"Need boom gates to prevent idiots ignoring the stop sign- it is frequently ignored. My life has been destroyed by an idiot doing this and driving into the driver's side of my car, I have permanent and severe spinal damage.  MANY cars have been observed ignoring the stop sign. Intersection is too big - idiots take chances. REduce the width of Pangbourne entering Ruislip.  Or put in boom gates and traffic lights.",115.8127641678,-31.937559364
"Oakford","Thomas Rd & Tuart Rd, Oakford","Speed limit too high",1,"Can take up to 10 minutes to turn onto Thomas Rd",115.888466835,-32.2225315096
