Federal Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"Fremantle","Jandakot Rd, Banjup","Tight curves or blind crests",0,"",115.8775663376,-32.1122406965
"Fremantle","14 & Discovery Dr, Bibra Lake","Little chance to turn/cross traffic",12,"",115.8169940114,-32.0986744515
"Fremantle","Beeliar Dr & Wentworth Pde, Success","Little chance to turn/cross traffic",3,"Too fast I was almost cleaned up at 70 km/hr",115.8524423776,-32.1290051544
"Fremantle","Knock Pl & Solomon Rd, Jandakot","Area requires lights/roundabout",3,"Extremely dangerous and traffic banks up.",115.8644215067,-32.1264055211
"Fremantle","Beeliar Dr & Dunraven Dr, Beeliar","Little chance to turn/cross traffic",5,"",115.8223342896,-32.1278515386
"Fremantle","12, Spearwood","Vehicles travel over the speed limit",2,"Road really should be a higher speed limit than current 60km/h limit which confuses drivers, but pedestrians need a safe place to cross. Needs a pedestrian bridge or similar, and then speed limit can be increased.",115.7669788599,-32.1057838605
"Fremantle","184-184 Hope Rd, Bibra Lake","Narrow road, lanes or bridges",0,"Needs Roe 8.  Rat run because Farrington Road and Bibra Drive too busy. ",115.8293133974,-32.0853061736
"Fremantle","Carrington St & Stevens St, Fremantle","Poorly timed traffic light system",0,"Stevens St traffic take precendence over busier Carrington Street Traffic, and signals change too quick.  Needs a bigger delay to allow smoother traffic flow on Carrington. ",115.7795932889,-32.057129358
"Fremantle","13 & Gilbertson Rd, Kardinya","Poorly timed traffic light system",0,"Gilbertson Toaf traffic take precendence over busier South Street Traffic, and signals change too quick.  Needs a bigger delay to allow smoother traffic flow on South Street. ",115.8194348216,-32.0686856983
"Fremantle","Lancaster St & Rockingham Rd, Spearwood","Poorly timed traffic light system",0,"Lancaster St traffic take precendence over busier Carrington Street Traffic, and signals change too quick.  Needs a bigger delay to allow smoother traffic flow on Rockingham Road",115.7828012109,-32.0957205554
"Fremantle","Birchley Rd & Coppito Cir, Beeliar","Tight curves or blind crests",0,"cannot get out onto Beelier Drive.... dangerous ... cannot see if turning right or left... if left you need to have a head that can turn 365 degrees ... just impossible ....and blind crest .... very dangerous",115.8027005196,-32.1294324645
"Fremantle","1 & Rockingham Rd, Munster","Tight curves or blind crests",0,"When turning north onto Stock Rd from Rockingham Rd, it is difficult to see in which lane traffic from the south is approaching, as there is a combination of a crest on a bend. As it is a fast road, this makes it tricky to know when it is safe to turn. As a result, traffic on Rockingham Rd clears more slowly than it could if the oncoming traffic could be seen better.",115.7894611359,-32.1372458339
"Fremantle","Beeliar Dr, Jandakot","Little chance to turn/cross traffic",2,"Once you have turned left from Poletti Rd onto Beeliar Dr, there is little opportunity to make the cross over 2 lanes needed in order to then turn right onto Wentworth Parade. This stretch of road is particularly dangerous during peak hour or busy periods. ",115.8492958546,-32.1292416646
"Fremantle","Power Ave & Russell Rd, Munster","Area requires lights/roundabout",2,"AFTER 4PM ON WEEKDAYS THERE IS TRAFFIC AND LARGE AND MULTIPLE TRUCKS USING EAST AND WEST BOUND RUSSELL ROAD, LINE UP OF TRAFFIC FROM HENDERSON ROAD TURNING LEFT (EAST BOUND) ON TO RUSSEL ROAD. TRUCKS DRIVING CANNOT TURN INTO POWER AVE WHEN CARS ARE BANKED UP ON POWER AVE CAUSING TRAFFIC BUILD UP UNTIL CARS CAN LEAVE POWER AVE TO ALLOW TRUCKS THE SPACE TO ENTER THE ROAD. THE LIGHT POST ALSO BLOCKS VISION OF RUSSEL ROAD AT POWER AVE. ALSO TRAFFIC BUILD UP OF CARS FRM HENDERSON TURNING RIGHT PEARSE",115.8116912842,-32.1578299483
"Fremantle","14, Jandakot","Lacks median strip/traffic separation",0,"HAVE SEEN MANY PEOPLE DRIVE UP THE LEFT LANE (ENTRY TO FWY) HEADING EAST ON BEELIAR DRIVE, CROSSOVER THE MEDIUM STRIP TO GO STRAIGHT ACROSS THE BRIDGE NOT IN A LANE IN PAINTED MEDIUM STRIP (ILLEGAL) NEED KERBING TO STOP CARS DOING THIS OR CAMERA TO CATCH DRIVERS",115.858232975,-32.1278197381
"Fremantle","The Grange, Beeliar","Little chance to turn/cross traffic",1,"Difficulty in crossing intersection at busy times ie mornings and evenings",115.8191344142,-32.1276811786
"Fremantle","Farrington Rd, Murdoch","Poor or no provision for cyclists",0,"When cycling early mornings there is no lighting and very little room for cars and especially trucks to overtake bikes. The shrubs on the side of the road often extend into the shoulder/cycle (loosely used term) lane forcing cyclists to move onto the single lane road and often in front of the path of fast moving vehicles that may not have seen you due to the frequent bends on the road. Further on near the freeway you need to cycle down the middle of the road to stay on Farrington. Very dangerous",115.8307242393,-32.0767565403
"Fremantle","303 Hampton Rd, South Fremantle","Speed limit too high",1,"North of Rockingham Road, Hampton Road should be a 50 zone (or less). Very difficult for pedestrians to cross at any point. VERY short pedestrian-cross phase at lights. Very dangerous turning right on or off Hampton Road as few breaks in traffic causes risk taking. Very high traffic zone in a long-standing problem area with various unsuccessful 'fixes' over the years. Bus lane often used by  frustrated regular traffic = dangerous for pedestrians & cyclists. Too many close traffic lights. SLOW IT",115.7596135139,-32.0738019357
"Fremantle","Douro Rd & Hampton Rd, South Fremantle","Confusing layout",0,"Driving south on Hampton Rd, the bus lane is marked by a unbroken yellow line which ends at Douro Rd intersection. That would make it illegal to be in the bus lane (unless turning left but there is no left turn possible as is T junction). MANY vehicles sneak into the left (Bus) lane before the intersection to get the 'jump' on traffic correctly using the one available lane. I  turn left into a business just after the intersection but can't move left due to them. A moped rider was killed there.",115.7591199875,-32.0730746337
"Fremantle","Preston Point Rd, East Fremantle","Narrow road, lanes or bridges",1,"Stupid traffic islands placed to slow traffic have taken over road area that could be a bike lane. Forces unpleasant and dangerous interaction of cars with bikes. In East Fremantle between Pier St & Petra St . East of Petra Street, Preston Point Road has big wide car lanes and nice brown bike lanes. Why can't East Fremantle just install speed bumps instead (like below on Riverside drive - which also has a nice bike lane)???",115.76547145840001,-32.03083574700002
"Fremantle","Bibra Dr & Hope Rd, Bibra Lake","Poor or no provision for cyclists",1,"Interaction with heavy vehicles. Almost forced off road.",115.8363318444,-32.0857106815
"Fremantle","12 & Russell Rd, Henderson","Area requires lights/roundabout",2,"Heavy traffic load and only a give way sign. Poor visibility, many vehicles travelling too fast, no pedestrian / cyclists crossings, heavy vehicle area, usually accidents on a weekly basis.",115.7786035538,-32.1457489264
"Fremantle","Jandakot Rd, Banjup","Narrow road, lanes or bridges",4,"",115.9043991566,-32.1254164957
"Fremantle","North Lake Rd & Winterfold Rd, Coolbellup","Area requires lights/roundabout",7,"Frequent car accidents.",115.8155912161,-32.0746519625
"Fremantle","12, Henderson","Poor or no provision for cyclists",0,"This road has no safe provision for cycling commuters,  and yet the traffic volume is heavy with heavy goods vehicles using the road.  I am worried about the safety of cyclists and pedestrians.",115.7738828659,-32.1751765846
"Fremantle","14 & Freshwater Dr, Atwell","Little chance to turn/cross traffic",1,"Turning Right to towards Armadale is very difficult during peak times.",115.8629322052,-32.1272518699
"Fremantle","High St & Ord St, Fremantle","Tight curves or blind crests",3,"",115.7551288605,-32.0518348664
"Fremantle","72-72 Jandakot Rd, Jandakot","Poor or no road lighting",3,"",115.8665585518,-32.1112047254
"Fremantle","3 & Karel Ave, Leeming","Narrow road, lanes or bridges",0,"One lane only on Karel Ave to or from Roe Hwy. Permanent long queues in AM and PM peak periods on Karel through the roundabouts. It needs to be wider with two lanes on both approaches.",115.8635759354,-32.0868651115
"Fremantle","Beeliar Dr, Beeliar","Little chance to turn/cross traffic",0,"Travelling Westbound on Beeliar at peak hour offers little chance for navigating as a cyclist - even on the cycle path. Cars are too busy looking right to yield to heaver traffic and all too eager to proceed when they get a chance, not seeing the pedestrian/cyclist at their left. Similarly, the roundabout being at the crest of a hill stymies accelleration by non motorised traffic when it can proceed frustrating the majority of motor vehicles.",115.8113694191,-32.1285784045
"Fremantle","Canning Hwy & Waddell Rd, Palmyra","Little chance to turn/cross traffic",1,"Extremely difficult and hazardous to turn right into Canning Hwy from Waddell Road. ""No Right Turn"" would be sensible.",115.7922452688,-32.0345443652
"Fremantle","1 & Spearwood Ave, Spearwood","Little chance to turn/cross traffic",0,"Not knowing who was turning right or going straight through coming east n turning into stock rd from spearwood ave",115.7983660698,-32.1012442634
"Fremantle","Marmion St & Stock Rd, Melville","Other",0,"No right turn arrow",115.7936829329,-32.0468810908
"Fremantle","2 & Russell Rd, Success","Other",1,"the whole road stock/rock is highway number one  yet we have to stop adding many risk points /rear impact /added time , when people who use this road dont use it for 2 minutes  usually 20 = MINUTES SO AT THE END OF A FATIGING DAY HAVE TO BATTLE ALONG IN CROWDED TRAFFIC LIGHT GROUPINGS  , many times averaging 40 k/hr along 30 k sections . ,in mornings heading north there are ques for kilometers up to russel , people cant get across stock/rockingham road here to the marine manufacturing zone  so m",115.8570098877,-32.1579571085
"Fremantle","2, Hammond Park","Other",0,"cant get off the road  north a pole is blocking turning lane left .right to freeway lights let 1 truck or 2 cars across so more people take rowley or armadale also this intersection is deemed so unsafe that preparatory lights are installed  but only on half of the 2 lights  onky on the approach es , but each one stops independently and randomly  where the1st one may be green with no warning .yet the second one will stop without warning .so trucks have inconsistant notice , i have reported these ",115.8568382263,-32.1577391195
"Fremantle","1 & Russell Rd, Henderson","Other",1,"oops ive put markers on the freeway when they should be here at russel /rockingham road  , also no bike path anywhere along stock rock . and too much loose rocks on side of white line even for speed linited 16 year old scooters to be on this road safely , this road should be a FREEWAY TO MANDURAH,  stockrock freeway now !!!  ta",115.7895576954,-32.1456853379
"Fremantle","14 & Solomon Rd, Jandakot","Little chance to turn/cross traffic",30,"",115.8644020557,-32.126867989
"Fremantle","Birchley Rd, Beeliar","Poor or no median strip",0,"",115.8024414991,-32.1288797083
"Fremantle","1, Yangebup","Hazardous roadside objects or trees",0,"no verge drainage , reported for years ,pathetic response ,the sand/rocks have eroded down this hill ,filled up the verge,and constantly fills up the left /right lane with water and mud/sand/rocks whenever it rains , traffic sweeps it up back to the line and it piles up there till the next rain storm",115.7892894745,-32.1245987429
"Fremantle","52-52 Douro Rd, South Fremantle","Little chance to turn/cross traffic",6,"Traffic congestion and incidents at the intersection of Douro Rd and South Fremantle shopping precinct.",115.7579295531,-32.073374682
"Fremantle","Alliance Ent & Gibbs Rd, Atwell","Little chance to turn/cross traffic",0,"Two lanes go into one at the same time as there is a turnoff. Cars don't know which other vehicles are doing what.",115.862030983,-32.1573667206
"Fremantle","Eucalyptus Dr, Hammond Park","Tight curves or blind crests",0,"Bend in road and narrow road : not enough space for large vehicle and car to turn and pass each other safely",115.8470401168,-32.1661812675
"Fremantle","Frank Watson","Speed limit too high",0,"The intersection of Brockway Road and Alfred Road (Roundabout) One person killed, number injured, numerous cars written off including my own, a number of front fences (brickwork) destroyed. Speed going through the roundabout mainly on Alfred Road going east seems to be the main cause. ",115.8013916016,-32.0744292289
"Fremantle","135-135 Progress Dr, North Lake","Narrow road, lanes or bridges",2,"When approaching Farrington Rd from Progress Dv, there is a chicane that allows only one vehicle at a time to travel north/south on Progress Dv. This is very dangerous if a vehicle travels north thru the chicane and then attempts to turn right into the North Lake carpark as the right turn can be blocked by a vehicle travelling south in Progress  that has to give way to north bound traffic. Car turning into the c/park risks being rear ended by another car northbound behind it.",115.8206605911,-32.0760474439
"Fremantle","79-79 Waverley Rd, Coolbellup","Little chance to turn/cross traffic",2,"Extremely difficult to turn left into Nth Lake Rd and then get into the right turn lane to enter Farrington Rd at the TCL. Cars tend to block both lanes of Nth Lake Rd approaching Farrington TCL and you get pushed thru the lights and forced to drive north through the TCL and miss the Farrington Rd right turn.",115.817232728,-32.0790747017
"Fremantle","2-22 Mardie St, Beaconsfield","Narrow road, lanes or bridges",0,"This narrow laneway with only one side of pedestrian pavement is now a rat-run/shortcut between South St. & Lefroy Rd as other intersections in the area have been closed. There needs to be some restrictions on speed and access to Mardie St. from South St. to ensure safety for road users and pedestrians.",115.762078464,-32.0637896615
"Fremantle","14 & Armadale Rd, Atwell","Area requires lights/roundabout",3,"Lots of near misses maybe a few crashes",115.8644234813,-32.1270188249
"Fremantle","101-101 Hampton Rd, Fremantle","Confusing layout",0,"Constant poor merging when crossing south street when heading up pass Wray ave.",115.7568669319,-32.0633009527
"Fremantle","1 & Barrington St, Spearwood","Poorly timed traffic light system",3,"Short time crossing stock road on Barrington red, also pressure points don�۪t work well ",115.7947611809,-32.116584377
"Fremantle","190-190 Beeliar Dr, Munster","Confusing layout",1,"Roundabout get blocked as there is a back log of cars heading east up beeliar up to and over stock rd. Only single lane and  light change is slow. Very bad peak times and school hours.",115.7862854004,-32.1279787406
"Fremantle","14, Bibra Lake","Other",0,"So many near misses at the lights. Often when people are turning right they are confronted with people thinking it�۪s a green light and nearly colliding with them. Not sure if it�۪s the lights timing or distraction.",115.8162081242,-32.0906100896
"Fremantle","33-51 Daly St, South Fremantle","Speed limit too high",0,"vehicles travel via this area to avoid an intersection ( Hamoton Rd / Douro Road)  and use the Daly street  as the  connecting  road between two shopping centeres.  All with eccess speed.  The section needs to be design as 'no through road"". ",115.7571029663,-32.073265551
"Fremantle","5 & 7, Fremantle","Narrow road, lanes or bridges",5,"A high volume of trucks travel west along Leach Hwy and turn right onto Stirling Hwy using a single lane.  The volume of traffic is high for such a small intersection.  Traffic build up can also be high at peak times.",115.7641893625,-32.050748196
"Fremantle","Hartwell Pde & McGellin Ct, Jandakot","Poor or confusing signage",0,"Drivers turning right out of McGellin Crt into Hartwell Pde do not give way to traffic heading down Hartwell Pde towards Glen Iris Dr. I've experienced many near misses, but no actual accidents, due to the relatively low speed of most vehicles. The problem is drivers leaving McGellin Crt think that drivers on Hartwell Pde are slowing to either turn left (into McGellin) or to let them out, which is not the case. Drivers slow due to a crest in the road and a speed hump leading up to intersection. ",115.8544027805,-32.1050977097
"Fremantle","2 Cockburn Rd, Hamilton Hill","Unsafe or poor pedestrian crossing",1,"This is a very difficult are for bycicles and pedestrians to cross Hampton Rd withou first crossing Rockingham Rd as there is only traffic lights on one side of the intersection",115.7611316442,-32.0781383534
"Fremantle","Amherst St & High St, Fremantle","Other",0,"motorists  ignore the barriers directing traffic to only turn left into High St from either side of Amherst St . I regularly see motorists :1) turn right from Amherst St, north or south, into High St. 2) go straight across High St into Amherst St 3) heading west, turn right from High St into Amherst St north 4) from Amherst st north, turn right into High St. I see this AT LEAST once a week, and have had an accident there (hit from behind. PLEASE make these barriers impenatrable",115.7621133327,-32.0508163975
"Fremantle","2, Atwell","Vehicles travel over the speed limit",0,"Drivers driving far below the speed limit without any need to. Other drivers have to take risks to get around them.",115.8572781086,-32.1578617384
"Fremantle","Hampton Rd & Scott St, Beaconsfield","Unsafe or poor pedestrian crossing",0,"The road has a bus lane and a traffic lane. When crossing the road, with often heavy traffic, it is often difficult to judge when it is safe to cross, as people will use the bus lane to overtake turning cars, or just because they think traffic is too slow. To go to the shopping centre one either has to use Lefroy Rd lights, or cross at Douro Rd, which is too dangerous due to people driving through yellow/red lights which does not give enough time to cross. ",115.7578539848,-32.0701608223
"Fremantle","Digby Dr & Kitson St, Rottnest Island","Other",0,"Too many quokkas",115.5399084091,-31.9963618352
"Fremantle","1-17 Wray Ave, Fremantle","Poor or no provision for cyclists",2,"Always busy for traffic, pedestrians, cyclists, shoppers, deliveries, residents, all on narrow road.",115.7525753975,-32.0601367838
"Fremantle","Jandakot Rd, Banjup","Tight curves or blind crests",0,"In the afternoon between 4 and 6pm, there is a queue of traffic ending at the Warton Rd roundabout. You can't see ahead, there are numerous blind corners. Trucks and cars use the road frequently. My concern, is being stuck in the queue with a truck travelling 80km/hr, or even a car, going around the bend, and all of a sudden, meeting the queue of cars. The traffic queue can be extremely long, past Cessna Drive. Sometimes, the issue occurs reverse direction in the morning, from freeway.",115.8990240097,-32.1237991552
"Fremantle","Ellen St & Parry St, Fremantle","Little chance to turn/cross traffic",0,"Drivers ignore stop signs.",115.7509821653,-32.0519667209
"Fremantle","High St, Fremantle","Little chance to turn/cross traffic",1,"Trucks want to move to the right lane in this area in order to turn right at Stirling Highway. However, traffic is also wanting to turn right before Stirling Highway. There is huge risk of car vs truck accidents due to sudden braking, particularly during congested hours.",115.7727241516,-32.0505163107
"Fremantle","Berrigan Dr, Jandakot","Little chance to turn/cross traffic",0,"",115.8640372753,-32.0901760618
"Fremantle","Tydeman Rd, North Fremantle","Poor or no provision for cyclists",10,"Heavy industrial traffic, rail crossing, heavy use by cyclists and commuting traffic make this mixed use stretch hideously dangerous and unpredictable.   ",115.7497322559,-32.037284235
"Fremantle","12 & Hampton Rd, South Fremantle","Poorly timed traffic light system",0,"The pedestrian green light is far too short and cars start turning left into the pedestrians whilst they are still crossing from the east side of Hampton Rd to the west side. Cars travelling north go through on the orange so cars turning right to head west end up having to go through on the red or even just get stuck in the intersection. I use this intersection as a pedestrian, cyclist and motorist and it is dangerous on all counts. Need to change traffic light timing.",115.7584762573,-32.0744292289
"Fremantle","1, Henderson","Confusing layout",0,"Large multi trailer semi trailers and high traffic volume with business entrances too close to the lights.",115.7896757126,-32.1464529397
"Fremantle","7, Fremantle","Other",2,"Too many semi trailers heading to the Fremantle port. Family's try and drive through the area to pick up and drop off children with these trucks around. Roe hwy needs to be built now before parents and children die. Speed of large trucks and lack of visibility due to the size. Cars merging in from Carrington street heading west cut in front of these large trucks, see too many close calls with truck burning rubber trying to stop. Leach hwy is a problem from the freeway to Stirling hwy",115.7793987328,-32.0506221609
"Fremantle","13 & Carrington St, Hilton","Vegetation/objects block visibility",0,"Small intersection with heavy traffic. large wall on north west side and crest just before lights traveling south bound. Little view to ensure intersection is safe when proceeding through it. It was the scene of a double fatality in 2014.",115.7797193527,-32.0632418528
"Fremantle","202-210 High St, Fremantle","Other",0,"Hight St between Carrington St and Stirling Hwy is extremely dangerous with very high density of all traffic made worse by the number of heavy vehicles using this road.",115.7564163208,-32.0511528572
"Fremantle","31-37 Hamilton Rd, Hamilton Hill","Vehicles travel over the speed limit",0,"I see many vehicles travelling over the speed limit along this road, especially on the weekends however it is an ongoing issue throughout the week as well.",115.7757925987,-32.0892466444
"Fremantle","Pearson Dr & Wentworth Pde, Success","Tight curves or blind crests",0,"The intersection of Wentworth Parade and Pearson Drive Success, is dangerous because coming out of Pearson Drive either way there are blind bends that obscure vision of on coming vehicles.",115.8555668592,-32.1361783491
"Fremantle","14, Success","Other",1,"WA has brought into effect the most stupid rule for entering the freeway in Australia. All our lives we have been told to give way to the RIGHT. NOW we have to give way to the LEFT but only on the freeway. This is causing traffic jams on a saturday at 1100 hrs. This new law should be scrapped and make the freeway safer. If you are on a freeway why am i stoping to let trafic in.",115.85700988769999,-32.129105378700004
"Fremantle","1 & Wattleup Rd, Wattleup","Little chance to turn/cross traffic",1,"",115.794095993,-32.1771744144
"Fremantle","Farrington Rd, Murdoch","Lacks overtaking opportunities",0,"",115.8279132843,-32.075592892
"Fremantle","Hammond Rd, Jandakot","Area requires lights/roundabout",1,"Congestion people tacking risks",115.8403587341,-32.1179110667
"Fremantle","1 Coonadoo Ct, Jandakot","Tight curves or blind crests",0,"Speed limit too high. Multiple blind spots. Traffic build up at peak hour. Poor road surface. No turning lanes. Needs roundabout and turning lanes.",115.877802372,-32.1112319879
"Fremantle","Armadale Rd & Solomon Rd, Jandakot","Area requires lights/roundabout",2,"Cars trying to turn right out of Solomon onto Armadale Road get frustrated because there is so much traffic. They end up making stupid decisions like turning in front of oncoming traffic and cars trying to turn right onto Solomon. Had many near misses here and witnessed many crashes.",115.86439669130002,-32.126824830700045
"Fremantle","14, Bibra Lake","Lacks median strip/traffic separation",0,"Car coming from opposite direction came too close along the curve.",115.8253061771,-32.105372625
"Fremantle","Wentworth Pde, Success","Speed limit too high",0,"Cars driving too fast along Wentworth Parade",115.8533942699,-32.1311382892
"Fremantle","210-210 Hammond Rd, Success","Speed limit too high",0,"Turning or joining cars cause significant speed drop. At times it takes a while to wait for fast oncoming traffic to ease before being able to join Hammond Rd.",115.8445805311,-32.1356582296
"Fremantle","Davilak Ave & Quarry Rd, Hamilton Hill","Confusing layout",0,"When you are travelling East from Quarry road, you stop at the intersection of Davilak Ave. Once there, you are unable to see oncoming traffic to the left, due to the bend on Davilak Ave just before the intersection.",115.7694652677,-32.0843562539
"Fremantle","Armadale Rd & Fraser Rd, Banjup","Unsafe or poor pedestrian crossing",0,"Need to cross main road with no pedestrian access in order to get to bus stop. This is the only bus stop for the whole suburb. Need to run across road to get there.",115.8761286736,-32.1310951329
"Fremantle","Hope St & Wiluna Ave, White Gum Valley","Poor or no provision for cyclists",2,"Spending cars into a blind intersection, close to schools, confusion on approach blind spots, speed limit too high",115.768037603,-32.0586207897
"Fremantle","Belarius St, Coolbellup","Narrow road, lanes or bridges",0,"When turning right from Belarius St onto Malvoilo Rd, it is very narrow. Sometimes you need to let other cars pass before you even start to turn.",115.8077967167,-32.0879786222
"Fremantle","14 & Leda St, Hamilton Hill","Confusing layout",0,"This intersection and strip of Rockingham road in general is risky. There is a new shopping centre, bus stops, speeding vehicles. Vehicles will be overtaking busses while people are trying to cross the street and also vehicles exiting from the multiple exits from the shopping centre",115.7698997855,-32.0822813948
"Fremantle","Blamey Pl & Forsyth St, O'connor","Poor road markings or no edge-lines",0,"High Street Ord Street traffic intersection ",115.7883453369,-32.0560995818
"Fremantle","3-17 Paget St, Hilton","Vehicles travel over the speed limit",9,"Following a decision to block traffic from turning right from Paget Street onto South Street this local road is being used both by delivery vehicles and speeding drivers. Speeds witnessed have been frightening and excessive.",115.7811918855,-32.0641647154
"Fremantle","1-17 Nicholas Cres, Hilton","Vehicles travel over the speed limit",0,"People speed between the Grigg Place & Paget Street intersections of Nicholas Crescent Hilton. Many children live on the street & it is very dangerous",115.7837012701,-32.0702011796
"Fremantle","78-86 Bromley Rd, Hilton","Tight curves or blind crests",1,"Many vehicles travel over the crest and along road exceeding speed limit.also not slowing down at school zone area. They also travel in centre of road over crest. My concern is for motorists, cyclists and pedestrians esp children in the neighbourhood crossing street on rtn f school etc. We have also suffered car accidents when reversing out of driveway as oncoming traffic traveling too fast to stop. There have been cars speeding from Laidlaw street around bend so fast they have crashed in tree. ",115.7905025317,-32.0727181287
"Fremantle","22-32 Paget St, Hilton","Speed limit too high",0,"So many young families living in this area, PCYC, IGA, the speed cars and buses go down this road is scarey and far too high.",115.7813474536,-32.0665718427
"Fremantle","Collick St, Hilton","Poor or confusing signage",1,"The intersection of South Street and Collick is dangerous.  Leaving Collick to head east is tricky as the 3rd slip lane on South Street  heading east means we have a lot to look out for.  Also - the new traffic calming with trees o Collick street is good .... but many many many cars (and buses) still speed over the 50km/hr limit. I would like to see the signs that say ""Remember 50kms / hr in buid up areas installed along Collick street PLEASE. Cheap option and much needed. ",115.7910194993,-32.0634077869
"Fremantle","19-37 Blackwood Ave, Hamilton Hill","Vehicles travel over the speed limit",0," Cars and bikes use for burn outs at all hours, racing late at night/early hours and as a bypass road at a higher speed from the early hours. Park well utilised by families and young children, often walking on the road as they would in Fremantle. It is an accident waiting to happen especially at sunset and sunrise with sun in the eyes.",115.7812758086,-32.0855432539
"Fremantle","14 & Hampton Rd, Beaconsfield","Poor or confusing signage",0,"Problems with merging ,many trucks,speeding motorbikes,multiple crashes and vehicles crashing into the building on the corner.(a ballet school often filled with children).It is a three way intersection with traffic lights and a merge on a major route into Fremantle next to a busy pub with people often driving into the intersection after an afternoon of drinking.The combination of all these factors makes it a dangerous intersection.",115.7613244198,-32.0785052586
"Fremantle","Carrington St, Beaconsfield","Vehicles travel over the speed limit",0,"Vehicles, travelling at high speed, mostly between Lefroy and Winterfold. Extremely dangerous trying to cross over to park and back. Dead Straight road used as a race track.",115.7797835433,-32.0679443094
"Fremantle","Knock Pl & Solomon Rd, Jandakot","Little chance to turn/cross traffic",0,"Was involved in crash, car facing Give Way came through gap in stationery vehicles. Was another crash there the day before, busy with train station traffic.",115.8643698692,-32.1263614455
"Fremantle","Allendale Ent, North Lake","Area requires lights/roundabout",1,"All members of our household use the intersection most days, often several times during a day as this I the only entrance and exit to our estate. The roundabout needs to be replaced with traffic lights, or at least add them to protect cars entering from Allendale Entrance. We often have to take risks to join the roundabout. Major road upgrades in the area may do little to address the problem, the lights could be added as part of the current works. ",115.8424723148,-32.0799292248
"Fremantle","Alabaster Dr & Wentworth Pde, Success","Little chance to turn/cross traffic",1,"People exiting from the undercover parking at the medical centre are forced south on Wentworth Parade and often do a u turn at the Alabaster road interesection frequently. There are frequent near misses with cars traveling east on Alabaster that are turning left onto Wentworth. The intersection desperately needs a 'No upturn' sign.  Also, the 'Giveway' sign, for those traveling north on Wentworth and turning left into Alabaster, got knocked down 4 or 5 years ago, and has never been replaced. ",115.8532494307,-32.130954307
"Fremantle","McCabe St & Stirling Hwy, North Fremantle","Other",0,"Cars are allowed to park on the side of the road near Stirling highway and further up the hill outside the units. This makes the corner absolutely blind. No one can see cars coming or going.",115.7535624504,-32.0227221946
"Fremantle","Power Ave, Wattleup","Vehicles travel over the speed limit",0,"",115.8118849061,-32.158465694
